,id,question,answer,type,response,prediction,confidence,f1,em,gpt_eval
0,695d5d160bdc11eba7f7acde48001122,Where was the director of film Breakup Buddies born?,Taiyuan,compositional,"Answer: Beijing Confidence: 0.3
Answer: Shanghai Confidence: 0.2
Answer: Chongqing Confidence: 0.2
Answer: Ningxia Confidence: 0.1
Answer: Shandong Confidence: 0.1",Beijing,0.3,0.0,0,0
1,d8de3d3d088411ebbd6dac1f6bf848b6,Do Jean-Martin De Prades and Marcel Henry have the same nationality?,yes,comparison,"Answer: No Confidence: 0.7
Answer: Yes Confidence: 0.3
Answer: French Confidence: 0.6
Answer: Different Confidence: 0.5
Answer: Same Confidence: 0.4",No,0.7,0.0,0,0
2,dc53832a0bd911eba7f7acde48001122,Where was the director of film Silks And Satins born?,Colorado,compositional,"Answer: Hong Kong Confidence: 0.8  
Answer: China Confidence: 0.7  
Answer: Taiwan Confidence: 0.6  
Answer: Shanghai Confidence: 0.5  
Answer: Beijing Confidence: 0.4",Hong Kong,0.8,0.0,0,0
3,05a2dec4088811ebbd6eac1f6bf848b6,Do both films Just Getting Started (Film) and The Dove'S Lost Necklace have the directors that share the same nationality?,no,bridge_comparison,"Answer: No Confidence: 0.7  
Answer: Yes Confidence: 0.3  
Answer: Maybe Confidence: 0.1  
Answer: Unlikely Confidence: 0.2  
Answer: Probably not Confidence: 0.4",No,0.7,1.0,1,1
4,4ed23bf80bda11eba7f7acde48001122,Where was the performer of song (Last Night) I Heard You Crying In Your Sleep born?,Mount Olive,compositional,"Answer: Canada Confidence: 0.4  
Answer: United States Confidence: 0.3  
Answer: United Kingdom Confidence: 0.2  
Answer: Australia Confidence: 0.05  
Answer: Sweden Confidence: 0.05",Canada,0.4,0.0,0,0
5,d0a0a43c0bdd11eba7f7acde48001122,Which country Harald Ii Of Denmark's mother is from?,Polish,compositional,"Answer: Norway Confidence: 0.6  
Answer: Sweden Confidence: 0.2  
Answer: Germany Confidence: 0.1  
Answer: Poland Confidence: 0.05  
Answer: France Confidence: 0.05",Norway,0.6,0.0,0,0
6,f8378b9e08ab11ebbd82ac1f6bf848b6,"Which film has the director who is older, Three Violent People or Girls In White?",Girls In White,bridge_comparison,"Answer: Three Violent People Confidence: 0.7  
Answer: Girls In White Confidence: 0.6  
Answer: The director of Three Violent People is older Confidence: 0.5  
Answer: The director of Girls In White is older Confidence: 0.4  
Answer: Can't determine Confidence: 0.3",Three Violent People,0.7,0.0,0,0
7,fc04494a0baf11ebab90acde48001122,"Who is the paternal grandfather of Hugh Montgomerie, 7Th Earl Of Eglinton?","Robert Seton, 1st Earl of Winton",inference,"Answer: Alexander Montgomerie, 6th Earl of Eglinton Confidence: 0.8
Answer: Alexander Montgomerie Confidence: 0.7
Answer: Alexander Seton Montgomerie Confidence: 0.6
Answer: Archibald Montgomerie, 5th Earl of Eglinton Confidence: 0.5
Answer: Hugh Montgomerie, 6th Earl of Eglinton Confidence: 0.3","Alexander Montgomerie, 6th Earl of Eglinton",0.8,0.3333333333333333,0,0
8,84b56dcc0bd911eba7f7acde48001122,Where was the director of film Little Alvin And The Mini-Munks born?,American,compositional,"Answer: Los Angeles Confidence: 0.3  
Answer: Chicago Confidence: 0.2  
Answer: New York Confidence: 0.2  
Answer: Toronto Confidence: 0.15  
Answer: London Confidence: 0.15",Los Angeles,0.3,0.0,0,0
9,47bafeb40bde11eba7f7acde48001122,"When did Joachim I, Prince Of Anhalt-Dessau's father die?",12 June 1516,compositional,"Answer: 1561 Confidence: 0.4  
Answer: 1551 Confidence: 0.3  
Answer: 1544 Confidence: 0.2  
Answer: 1570 Confidence: 0.05  
Answer: 1580 Confidence: 0.05",1561,0.4,0.0,0,0
