,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,"Answer: Britt Robertson  
Confidence: 0.7  
Answer: Josh Gad  
Confidence: 0.5  
Answer: Dennis Quaid  
Confidence: 0.6  
Answer: Rachael Ray  
Confidence: 0.4  
Answer: Amy Adams  
Confidence: 0.3",Britt Robertson,0.7,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,"Answer: Columbia University  Confidence: 0.8  
Answer: Harvard University  Confidence: 0.1  
Answer: Stanford University  Confidence: 0.05  
Answer: Yale University  Confidence: 0.03  
Answer: University of Chicago  Confidence: 0.02",Columbia University,0.8,0.6666666666666666,0,0
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,"Answer: 1945 Confidence: 0.7  
Answer: 1900 Confidence: 0.5  
Answer: 1938 Confidence: 0.6  
Answer: 1941 Confidence: 0.4  
Answer: 1942 Confidence: 0.3",1945,0.7,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900","Answer: 3300 Confidence: 0.7  
Answer: 4000 Confidence: 0.6  
Answer: 2500 Confidence: 0.5  
Answer: 5000 Confidence: 0.4  
Answer: 6000 Confidence: 0.3",3300,0.7,0.0,0,0
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,"Answer: Latin Confidence: 0.7  
Answer: Old High German Confidence: 0.6  
Answer: Medieval Latin Confidence: 0.5  
Answer: Romance Languages Confidence: 0.4  
Answer: Germanic Languages Confidence: 0.3",Latin,0.7,0.6666666666666666,0,1
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,"Answer: Assimilation into Latvian culture. Confidence: 0.8  
Answer: Decline due to conflict and colonization. Confidence: 0.7  
Answer: Migration to other regions. Confidence: 0.6  
Answer: Cultural extinction. Confidence: 0.5  
Answer: Partial preservation of heritage. Confidence: 0.4",Assimilation into Latvian culture.,0.8,0.0,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,"Answer: James I Confidence: 0.9  
Answer: King James Confidence: 0.85  
Answer: James VI and I Confidence: 0.8  
Answer: King of England Confidence: 0.7  
Answer: King of Scotland Confidence: 0.65",James I,0.9,0.5714285714285715,0,1
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,"Answer: Ranjit Lal  Confidence: 0.8  
Answer: Unknown  Confidence: 0.6  
Answer: Unclear  Confidence: 0.5  
Answer: N/A  Confidence: 0.4  
Answer: Not specified  Confidence: 0.3",Ranjit Lal,0.8,0.0,0,0
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","Answer: 8000  Confidence: 0.6  
Answer: 12000  Confidence: 0.5  
Answer: 6000  Confidence: 0.4  
Answer: 15000  Confidence: 0.3  
Answer: 10000  Confidence: 0.4",8000,0.6,0.0,0,0
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,"Answer: John Cabot's son Confidence: 0.8  
Answer: Sebastian Cabot Confidence: 0.9  
Answer: Explorer's child Confidence: 0.6  
Answer: Italian explorer's descendant Confidence: 0.5  
Answer: Cabot family member Confidence: 0.4",Sebastian Cabot,0.9,1.0,1,1
10,3hop2__132957_222979_40768,"When did Nissan, the Acura Legend maker and the Scion owner open US assembly plants?",1981,"Answer: 1980s Confidence: 0.8  
Answer: 1984 Confidence: 0.7  
Answer: 1982 Confidence: 0.6  
Answer: 1990 Confidence: 0.5  
Answer: 1995 Confidence: 0.4",1980s,0.8,0.0,0,1
