,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,"Answer: Josh Duhamel's wife Confidence: 0.0 
Answer: Fergie Confidence: 0.8 
Answer: Josh Duhamel Confidence: 0.0 
Answer: Paige Turco Confidence: 0.0 
Answer: Eiza González Confidence: 0.0",Fergie,0.8,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,"Answer: Princeton Confidence: 0.8 
Answer: Harvard Confidence: 0.1 
Answer: Yale Confidence: 0.05 
Answer: Stanford Confidence: 0.02 
Answer: MIT Confidence: 0.03",Princeton,0.8,0.0,0,0
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,"Answer: 1911 Confidence: 0.0 
Answer: 1894 Confidence: 0.0 
Answer: 221 Confidence: 0.0 
Answer: 1276 Confidence: 0.0 
Answer: 1910 Confidence: 0.0",1911,0.0,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900","Answer: 12222 Confidence: 0.2 
Answer: 13000 Confidence: 0.3 
Answer: 12000 Confidence: 0.2 
Answer: 12961 Confidence: 0.1 
Answer: 12500 Confidence: 0.2",13000,0.3,0.0,0,0
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,"Answer: Latin Confidence: 0.8 
Answer: Old French Confidence: 0.6 
Answer: Old High German Confidence: 0.4 
Answer: Medieval Latin Confidence: 0.3 
Answer: Frankish Confidence: 0.2",Latin,0.8,0.6666666666666666,0,0
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,"Answer: Assimilated Confidence: 0.7 
Answer: Displaced Confidence: 0.6 
Answer: Killed Confidence: 0.4 
Answer: Germanized Confidence: 0.5 
Answer: Fled Confidence: 0.3",Assimilated,0.7,0.0,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,"Answer: King James Confidence: 0.9 
Answer: King Henry VIII Confidence: 0.08 
Answer: King Edward VI Confidence: 0.01 
Answer: King George III Confidence: 0.005 
Answer: King Charles I Confidence: 0.005",King James,0.9,0.5714285714285715,0,1
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,"Answer: Mark Shand Confidence: 0.8 
Answer: Sanjay Gandhi Confidence: 0.1 
Answer: Rajiv Gandhi Confidence: 0.05 
Answer: Sonny Mehta Confidence: 0.0 
Answer: Salman Rushdie Confidence: 0.05",Mark Shand,0.8,0.0,0,0
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","Answer: McGIll Confidence: 0.2 
Answer: Oxford Confidence: 0.1 
Answer: McMaster Confidence: 0.3 
Answer: GWU Confidence: 0.1 
Answer: Pitt Confidence: 0.3",McMaster,0.3,0.0,0,0
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,"Answer: John Cabot's son Confidence: 0.8 
Answer: Sebastian Cabot Confidence: 0.7 
Answer: Henry Cabot Confidence: 0.2 
Answer: Ludwig Cabot Confidence: 0.1 
Answer: Sancho Cabot Confidence: 0.0",John Cabot's son,0.8,0.0,0,1
