,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,Answer: Lauren Parsekian Confidence: 0.8,Lauren Parsekian,0.8,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,Answer: Harvard University Confidence: 0.8,Harvard University,0.8,0.3333333333333333,0,0
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,Answer: 1911 Confidence: 0.2,1911,0.2,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900",Answer: 12288 Confidence: 0.2,12288,0.2,0.0,0,0
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,Answer: Latin Confidence: 0.8,Latin,0.8,0.6666666666666666,0,1
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,Answer: Assimilated Confidence: 0.8,Assimilated,0.8,0.0,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,"Answer: King James I 
Confidence: 0.9",King James I,0.9,0.7499999999999999,0,1
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,Answer: R.K. Narayan Confidence: 0.8,R.K. Narayan,0.8,0.0,0,0
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","Answer: 43,871 Confidence: 0.2","43,871",0.2,0.0,0,0
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,"Answer: John Cabot's son Sebastian 
Confidence: 0.8",John Cabot's son Sebastian,0.8,0.3333333333333333,0,1
10,3hop2__132957_222979_40768,"When did Nissan, the Acura Legend maker and the Scion owner open US assembly plants?",1981,"Answer: 1982, 1985, 2003 Confidence: 0.7","1982, 1985, 2003",0.7,0.0,0,0
11,2hop__62311_62279,When did Germany launch an air attack on the country the U.S. fought during the American Revolution?,10 July -- 31 October 1940,Answer: 1940 Confidence: 0.8,1940,0.8,0.33333333333333337,0,1
12,3hop1__365934_87694_124169,What date did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to end?,1952,Answer: 1954 Confidence: 0.2,1954,0.2,0.0,0,0
13,2hop__409166_152023,"What record label is responsible for the performer of ""Sanctuary""?",Kicking Mule Records,Answer: Sanctuary Records Confidence: 0.7,Sanctuary Records,0.7,0.4,0,0
14,3hop1__857_846_7821,How many miles of highways are in the city where the Yongle emperor greeted the person to whom the edict was addressed?,140 mi,Answer: 724 Confidence: 0.2,724,0.2,0.0,0,0
15,3hop1__19768_19788_10117,"Widely practiced in the region having the second largest rain-forest in the world, how long ago did this religion arrive in Zhejiang?","1,400 years",Answer: 2000 Confidence: 0.2,2000,0.2,0.0,0,0
16,2hop__703767_37168,Where does the employer of Hasan Hanafi rank according to QS World University Rankings?,551-600,Answer: Cairo University Confidence: 0.8,Cairo University,0.8,0.0,0,0
17,2hop__56851_343058,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,Adrian Edmondson,Answer: John Federic Hannity Confidence: 0.0,John Federic Hannity,0.0,0.0,0,0
18,3hop2__30152_105395_20999,"How were the people that the Somali Muslim Ajuran Empire made coins to proclaim independence from, expelled from the country where Star Cola is produced?",The dynasty regrouped and defeated the Portuguese,"Answer: Portuguese 
Confidence: 0.8",Portuguese,0.8,0.33333333333333337,0,1
19,2hop__42747_83837,Who sings Home Alone Tonight with the singer of Light It Up?,Karen Fairchild,Answer: Luke Bryan Confidence: 0.8,Luke Bryan,0.8,0.0,0,0
20,2hop__511176_22458,What does the acronym of the organization Danish Football Union is part of stand for?,International Federation of Association Football,Answer: UEFA Confidence: 1.0,UEFA,1.0,0.0,0,0
