,id,question,answer,type,level,response,prediction,confidence,f1,em,gpt_eval
0,5ae3cfe05542990afbd1e1e3,"Which airport is located in Maine, Sacramento International Airport or Knox County Regional Airport?",Knox County Regional Airport,comparison,medium,Answer: Knox County Regional Airport Confidence: 1.0,Knox County Regional Airport,1.0,1.0,1,1
1,5abc1abf5542993a06baf87f,Peter Hobbs founded the company that is based in what town in Manchester?,Failsworth,bridge,medium,Answer: Altrincham Confidence: 0.8,Altrincham,0.8,0.0,0,0
2,5ac250eb5542992f1f2b384f,What direction does the river that Austrolebias bellotti are found in flow?,north to south,bridge,medium,Answer: East Confidence: 0.6,East,0.6,0.0,0,0
3,5a81a60455429903bc27b990,Were both Gabriela Mistral and G. K. Chesterton authors?,yes,comparison,medium,Answer: Yes Confidence: 1.0,Yes,1.0,1.0,1,1
4,5a70fb2d5542994082a3e482,"What city, other than San Jose del Cabo, is at the the southern tip of Baja California Peninsula and is also encompassed in the Los Cabos Municipality?",Cabo San Lucas,bridge,medium,Answer: Cabo San Lucas Confidence: 1.0,Cabo San Lucas,1.0,1.0,1,1
5,5a760b725542994ccc91869a,"What event occured at the Red Bull Arena in Salzburg, Austria and Switzerland in 2008?",UEFA Euro 2008,bridge,medium,"Answer: Euro 2008 
Confidence: 0.9",Euro 2008,0.9,0.8,0,1
6,5ae60d88554299546bf83040,Sir Thomas Kyriell was executed after which battle from the Wars of the Roses?,Second Battle of St Albans,bridge,medium,Answer: Mortimer's Cross Confidence: 0.8,Mortimer's Cross,0.8,0.0,0,0
7,5a8d9501554299068b959d4d,"Where is the fruit, part of the flowering plant species in the palm family Arecaceae, most popular?",Malta,bridge,medium,Answer: Southeast Asia Confidence: 0.8,Southeast Asia,0.8,0.0,0,0
8,5a875ce15542993e715abf16,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,bridge,easy,Answer: Santa Cruz Beach Boardwalk Confidence: 0.9,Santa Cruz Beach Boardwalk,0.9,1.0,1,1
9,5adcc89f5542994d58a2f6cf,An actress nominated for 20 academy awards was featured on a TV series about genealogical research of 12 americans hosted by whom?,Professor Henry Louis Gates,bridge,medium,Answer: Henry Louis Gates Jr. Confidence: 0.9,Henry Louis Gates Jr.,0.9,0.75,0,1
10,5a8fafb15542992414482b3f,Which movement was lead by the poet who is included among those David S. Reynolds is an expert on?,transcendentalist,bridge,hard,Answer: Transcendentalism Confidence: 0.8,Transcendentalism,0.8,0.0,0,1
11,5a7a17975542990783324e4b,"""Lisa's Rival"" is the second episode of ""The Simpsons""' sixth season, which American actress guest stars as Allison Taylor, a new student at Springfield Elementary School?",Winona Ryder,bridge,easy,Answer: Winona Ryder Confidence: 0.8,Winona Ryder,0.8,1.0,1,1
12,5ab9257b554299753720f749,Who introduced the Ultimate Boeing 747 gambit in response to the idea that there must be a god if there appears to be a deliberate design in the natural world?,Richard Dawkins,bridge,hard,Answer: Dawkins Confidence: 0.9,Dawkins,0.9,0.6666666666666666,0,1
13,5a711ec15542994082a3e5aa,"Which magazine was published weekly vs every weekday, Aeon or Life?",Life,comparison,hard,Answer: Life Confidence: 0.8,Life,0.8,1.0,1,1
14,5a72d20e5542991f9a20c5a7,What is the current name of the club that Agustin Lionel Allione plays for?,Esporte Clube Bahia,bridge,medium,Answer: Rosario Central Confidence: 0.8,Rosario Central,0.8,0.0,0,0
15,5ae6880c55429908198fa5f3,The composer of Massu Engira Masilamani began his musical career when he composed the film score for what movie?,"""Aravindhan""",bridge,easy,Answer: Pammal K. Sambandam Confidence: 0.8,Pammal K. Sambandam,0.8,0.0,0,0
16,5ac028d95542992a796decb2,"Who has more scope of profession, E. L. Doctorow or Julia Peterkin?","Edgar Lawrence ""E. L."" Doctorow",comparison,hard,Answer: E. L. Doctorow Confidence: 0.8,E. L. Doctorow,0.8,0.7499999999999999,0,1
17,5adfa82255429942ec259ada,"When was the military branch, for which Christian Roy Kaldager served, established?",10 November 1944,bridge,medium,Answer: 1775 Confidence: 0.8,1775,0.8,0.0,0,0
18,5a7cf78a55429907fabef06d,When the group who murdered Jaime Zapata form their own criminal organization?,February 2010,bridge,medium,Answer: 2010 Confidence: 0.4,2010,0.4,0.6666666666666666,0,1
19,5ac1679f5542994d76dcce13,"In which city was the Symphony for Classical Orchestra in B-flat major completed by Harold Shapero who undoubtedly derived a fair amount from the American composer, teacher and writer known as the 'Dean of American Composers'?",Massachusetts,bridge,easy,Answer: Boston Confidence: 0.8,Boston,0.8,0.0,0,0
20,5a8ef39a5542995b44241f11,"What character did this actor, who also played a supporting role in Sleepy Hollow, play in the final six Harry Potter films?",Professor Albus Dumbledore,bridge,hard,Answer: Lucius Malfoy Confidence: 0.9,Lucius Malfoy,0.9,0.0,0,0
21,5ac1e6fe5542991316484bc6,What T.V. show did the episode Colonel Homer air on?,The Simpsons,bridge,easy,Answer: The Simpsons Confidence: 1.0,The Simpsons,1.0,1.0,1,1
22,5aba813f55429955dce3ee63,STS-7 was NASA's seventh Space Shuttle mission carried the first American woman in space in 1983 who name was?,Sally Kristen Ride,bridge,hard,Answer: Sally Ride Confidence: 1.0,Sally Ride,1.0,0.8,0,1
23,5ab39662554299233954ff5c,"Shottenstein Store Corp's primary holders are Jerome Shottenstein, and what other entrepreneur that was born in 1954?",Jay Schottenstein,bridge,medium,Answer: Jay Schottenstein Confidence: 0.8,Jay Schottenstein,0.8,1.0,1,1
24,5a7b13b25542992d025e6746,"Which is from farther west, Woman's Viewpoint or Al Jamila?",Woman's Viewpoint,comparison,medium,"Answer: Al Jamila 
Confidence: 0.95",Al Jamila,0.95,0.0,0,0
25,5ae7aae35542993210983ee6,What was the duck character's name in the Disney cartoon with the music that sounded like The Mexican Hat Dance?,Donna,bridge,hard,Answer: Donald Duck Confidence: 0.8,Donald Duck,0.8,0.0,0,0
26,5ae3641e5542992e3233c3d6,"The singer who released the single ""Kid Stuff"" in 1973 is best known for what other song?",The Teddy Bear Song,bridge,medium,"Answer: Leader of the Pack 
Confidence: 0.8",Leader of the Pack,0.8,0.0,0,0
27,5a7c947455429935c91b523c,In which year was the farming simulation video game published by Chucklefish released for Microsoft Windows?,2016,bridge,medium,Answer: 2016 Confidence: 0.8,2016,0.8,1.0,1,1
28,5a7db4eb5542997cc2c47474,"Which Australian locality is 110 km north form the city affectionally named ""The City""?",Kangaroo Head,bridge,medium,Answer: Newcastle Confidence: 0.8,Newcastle,0.8,0.0,0,0
29,5ab9dbf055429901930fa735,What musical did Dan Domenech perform in that was based on a book by Jack Murphy and Gregory Boyd?,Wonderland,bridge,easy,Answer: Altar Boyz Confidence: 0.8,Altar Boyz,0.8,0.0,0,0
30,5a7291195542991f9a20c4f0,When did the singer of Mestarit salilla serve in the Finnish Parliament?,from 2003 to 2007,bridge,hard,Answer: 2015-2019 Confidence: 0.8,2015-2019,0.8,0.0,0,0
31,5a847de2554299123d8c226f,Along what road was the former mall near White Flint station located?,Rockville Pike,bridge,medium,Answer: Rockville Pike Confidence: 0.9,Rockville Pike,0.9,1.0,1,1
