,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,"Answer: Emma Stone Confidence: 0.3
Answer: Bryce Dallas Howard Confidence: 0.25 
Answer: Mackenzie Vega Confidence: 0.2 
Answer: Britt Robertson Confidence: 0.15 
Answer: Sigourney Weaver Confidence: 0.1",Emma Stone,0.3,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,"Answer: Harvard University Confidence: 0.8  
Answer: Columbia University Confidence: 0.7  
Answer: Yale University Confidence: 0.6  
Answer: Princeton University Confidence: 0.5  
Answer: University of Toronto Confidence: 0.4",Harvard University,0.8,0.3333333333333333,0,0
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,"Answer: 1938 Confidence: 0.7  
Answer: 1937 Confidence: 0.6  
Answer: 1941 Confidence: 0.4  
Answer: 1945 Confidence: 0.3  
Answer: 1939 Confidence: 0.2",1938,0.7,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900","Answer: 16,000 Confidence: 0.6  
Answer: 18,000 Confidence: 0.5  
Answer: 15,000 Confidence: 0.4  
Answer: 20,000 Confidence: 0.3  
Answer: 12,000 Confidence: 0.2","16,000",0.6,0.0,0,1
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,"Answer: Old High German Confidence: 0.8  
Answer: Latin Confidence: 0.6  
Answer: Old French Confidence: 0.5  
Answer: Frankish Confidence: 0.7  
Answer: Proto-Germanic Confidence: 0.4",Old High German,0.8,0.0,0,0
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,"Answer: assimilated into neighboring cultures Confidence: 0.6  
Answer: migrated to other regions Confidence: 0.7  
Answer: displaced by wars or conflicts Confidence: 0.5  
Answer: integrated into later Baltic tribes Confidence: 0.8  
Answer: extinct as a distinct group Confidence: 0.4",integrated into later Baltic tribes,0.8,0.0,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,"Answer: James I Confidence: 0.8
Answer: Charles I Confidence: 0.1
Answer: Henry VIII Confidence: 0.05
Answer: James II Confidence: 0.03
Answer: Charles II Confidence: 0.02",James I,0.8,0.5714285714285715,0,1
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,"Answer: Mark Shand Confidence: 0.6
Answer: Mick Jagger Confidence: 0.2
Answer: Charles Saatchi Confidence: 0.1
Answer: Rupert Everett Confidence: 0.05
Answer: James Goldsmith Confidence: 0.05",Mark Shand,0.6,0.0,0,0
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","Answer: University of Cambridge Confidence: 0.7
Answer: University of Oxford Confidence: 0.6  
Answer: Imperial College London Confidence: 0.5  
Answer: University of Bristol Confidence: 0.4  
Answer: University of Manchester Confidence: 0.3",University of Cambridge,0.7,0.0,0,0
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,"Answer: Richard Hakluyt Confidence: 0.7  
Answer: Sebastian Cabot Confidence: 0.6  
Answer: John Cabot Confidence: 0.5  
Answer: Matthew Cabot Confidence: 0.4  
Answer: Ludovico Cabot Confidence: 0.3",Richard Hakluyt,0.7,0.0,0,0
10,3hop2__132957_222979_40768,"When did Nissan, the Acura Legend maker and the Scion owner open US assembly plants?",1981,"Answer: 1980s Confidence: 0.7  
Answer: 1990s Confidence: 0.6  
Answer: 2000s Confidence: 0.5  
Answer: 1970s Confidence: 0.4  
Answer: 2010s Confidence: 0.3",1980s,0.7,0.0,0,1
11,2hop__62311_62279,When did Germany launch an air attack on the country the U.S. fought during the American Revolution?,10 July -- 31 October 1940,"Answer: 1940 Confidence: 0.7
Answer: 1939 Confidence: 0.6
Answer: 1941 Confidence: 0.5
Answer: 1942 Confidence: 0.4
Answer: 1938 Confidence: 0.3",1940,0.7,0.33333333333333337,0,1
12,3hop1__365934_87694_124169,What date did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to end?,1952,"Answer: 14th century Confidence: 0.3
Answer: 15th century Confidence: 0.2
Answer: 13th century Confidence: 0.2
Answer: 12th century Confidence: 0.1
Answer: 16th century Confidence: 0.1",14th century,0.3,0.0,0,0
13,2hop__409166_152023,"What record label is responsible for the performer of ""Sanctuary""?",Kicking Mule Records,"Answer: Atlantic Records Confidence: 0.8  
Answer: Def Jam Recordings Confidence: 0.6  
Answer: Sony Music Entertainment Confidence: 0.5  
Answer: Warner Music Group Confidence: 0.4  
Answer: Universal Music Group Confidence: 0.3",Atlantic Records,0.8,0.4,0,0
14,3hop1__857_846_7821,How many miles of highways are in the city where the Yongle emperor greeted the person to whom the edict was addressed?,140 mi,"Answer: 600 Confidence: 0.3
Answer: 300 Confidence: 0.2
Answer: 900 Confidence: 0.15
Answer: 1200 Confidence: 0.1
Answer: 150 Confidence: 0.25",600,0.3,0.0,0,0
15,3hop1__19768_19788_10117,"Widely practiced in the region having the second largest rain-forest in the world, how long ago did this religion arrive in Zhejiang?","1,400 years","Answer: 4th century Confidence: 0.7  
Answer: 5th century Confidence: 0.6  
Answer: 3rd century Confidence: 0.5  
Answer: 6th century Confidence: 0.4  
Answer: 2nd century Confidence: 0.3",4th century,0.7,0.0,0,0
16,2hop__703767_37168,Where does the employer of Hasan Hanafi rank according to QS World University Rankings?,551-600,"Answer: 1 Confidence: 0.6  
Answer: 100 Confidence: 0.2  
Answer: 50 Confidence: 0.1  
Answer: 10 Confidence: 0.05  
Answer: 5 Confidence: 0.05",1,0.6,0.0,0,0
17,2hop__56851_343058,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,Adrian Edmondson,"Answer: Danny Huston Confidence: 0.6
Answer: John Corbett Confidence: 0.5
Answer: Bruce Willis Confidence: 0.4
Answer: Jeff Bridges Confidence: 0.3
Answer: David Spade Confidence: 0.2",Danny Huston,0.6,0.0,0,0
18,3hop2__30152_105395_20999,"How were the people that the Somali Muslim Ajuran Empire made coins to proclaim independence from, expelled from the country where Star Cola is produced?",The dynasty regrouped and defeated the Portuguese,"Answer: Portuguese Confidence: 0.4
Answer: British Confidence: 0.3
Answer: Ottoman Confidence: 0.2
Answer: Italian Confidence: 0.05
Answer: Dutch Confidence: 0.05",Portuguese,0.4,0.33333333333333337,0,1
19,2hop__42747_83837,Who sings Home Alone Tonight with the singer of Light It Up?,Karen Fairchild,"Answer: Luke Bryan Confidence: 0.7
Answer: Jason Aldean Confidence: 0.6
Answer: Florida Georgia Line Confidence: 0.5
Answer: Thomas Rhett Confidence: 0.4
Answer: Blake Shelton Confidence: 0.3",Luke Bryan,0.7,0.0,0,0
20,2hop__511176_22458,What does the acronym of the organization Danish Football Union is part of stand for?,International Federation of Association Football,"Answer: UEFA Confidence: 0.9  
Answer: FIFA Confidence: 0.5  
Answer: UEFA Confidence: 0.8  
Answer: European Football Association Confidence: 0.3  
Answer: Danmarks Boldspil-Union Confidence: 0.2",UEFA,0.9,0.0,0,0
21,2hop__83800_747874,Who's the sibling of the player who won the men's wimbledon championship 2016?,Jamie Murray,"Answer: Andy Murray Confidence: 0.8  
Answer: Jamie Murray Confidence: 0.6  
Answer: Judy Murray Confidence: 0.3  
Answer: Serena Williams Confidence: 0.1  
Answer: Novak Djokovic Confidence: 0.05",Andy Murray,0.8,0.5,0,0
22,2hop__83257_19033,Where did the inventor of the Money in the Bank ladder match win in 2008?,Great American Bash,"Answer: WWE Championship Confidence: 0.5  
Answer: World Heavyweight Championship Confidence: 0.3  
Answer: ECW Championship Confidence: 0.1  
Answer: Intercontinental Championship Confidence: 0.05  
Answer: United States Championship Confidence: 0.05",WWE Championship,0.5,0.0,0,0
23,2hop__55966_162341,What kind of recognition did the actor who played the game maker in hunger games receive?,nominated for an Academy Award for Best Supporting Actor,"Answer: Academy Award Confidence: 0.3  
Answer: Emmy Award Confidence: 0.2  
Answer: Golden Globe Confidence: 0.2  
Answer: SAG Award Confidence: 0.2  
Answer: BAFTA Confidence: 0.1",Academy Award,0.3,0.4,0,0
24,2hop__754753_57816,What is the U.S. News ranking of the law school at Carlos Alvarez's employer?,100,"Answer: University of Miami Confidence: 0.8
Answer: Florida International University Confidence: 0.6
Answer: University of Florida Confidence: 0.5
Answer: Florida State University Confidence: 0.4
Answer: Nova Southeastern University Confidence: 0.3",University of Miami,0.8,0.0,0,0
25,3hop1__127837_157828_239539,Where is the headquarters of the Radio Television of the country that has a co-official language in the language that Kuhinjica is in?,Pristina,"Answer: Ljubljana Confidence: 0.8  
Answer: Zagreb Confidence: 0.6  
Answer: Belgrade Confidence: 0.4  
Answer: Sarajevo Confidence: 0.3  
Answer: Skopje Confidence: 0.2",Ljubljana,0.8,0.0,0,0
26,3hop1__102461_24918_24991,What went down after the Soviet President visiting the the birth country of Andrey Dashkov while the protests were taking place departed from the Kremlin?,Soviet flag,"Answer: Berlin Wall Confidence: 0.8  
Answer: Soviet Union Confidence: 0.7  
Answer: Cold War Confidence: 0.6  
Answer: Communist regime Confidence: 0.5  
Answer: Mikhail Gorbachev Confidence: 0.4",Berlin Wall,0.8,0.0,0,0
27,2hop__612719_6455,What was the resulting browser of the group that owns Mozilla Messaging?,Firefox,"Answer: Firefox Confidence: 0.9
Answer: Thunderbird Confidence: 0.7
Answer: SeaMonkey Confidence: 0.5
Answer: Mozilla Suite Confidence: 0.3
Answer: Netscape Confidence: 0.2",Firefox,0.9,1.0,1,1
28,2hop__30905_189318,Where did the person who sponsored the resolution to reopen trade with Vietnam along with Kerry go to college?,National War College,"Answer: Yale Confidence: 0.8  
Answer: Harvard Confidence: 0.7  
Answer: Georgetown Confidence: 0.5  
Answer: Princeton Confidence: 0.4  
Answer: Columbia Confidence: 0.3",Yale,0.8,0.0,0,0
29,2hop__776377_857193,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,Delaware River,"Answer: Schuylkill River Confidence: 0.7  
Answer: Cocalico Creek Confidence: 0.6  
Answer: Susquehanna River Confidence: 0.5  
Answer: Brandywine Creek Confidence: 0.4  
Answer: Perkiomen Creek Confidence: 0.3",Schuylkill River,0.7,0.5,0,0
30,2hop__411091_625230,In which county is Mark Dismore's birthplace located?,Hancock County,"Answer: Indiana Confidence: 0.3  
Answer: Ohio Confidence: 0.25  
Answer: Kentucky Confidence: 0.2  
Answer: Pennsylvania Confidence: 0.15  
Answer: Illinois Confidence: 0.1",Indiana,0.3,0.0,0,0
31,4hop2__160585_14670_8987_8529,"A country's military branch, which in the US contains the Air Defense Artillery, was unprepared for the invasion of Hana Mandlikova's birth country. When was the word ""Slavs"" used in the national anthem of the unprepared country?",1943–1992,"Answer: 1944 Confidence: 0.3  
Answer: 1977 Confidence: 0.25  
Answer: 1918 Confidence: 0.2  
Answer: 1936 Confidence: 0.15  
Answer: 1955 Confidence: 0.1",1944,0.3,0.0,0,0
32,3hop1__28404_160713_77246,What is the meaning of the word that is also a majority religion in what became India when the country that disavowed the Taliban was created in the Arabic dictionary?,the country of India,"Answer: Hinduism Confidence: 0.8  
Answer: Islam Confidence: 0.6  
Answer: Sikhism Confidence: 0.4  
Answer: Buddhism Confidence: 0.3  
Answer: Jainism Confidence: 0.2",Hinduism,0.8,0.0,0,0
33,2hop__8496_21567,Who introduced a system of musical notation used during the 14th century in the place where there is no evidence of a Slavic settlement before c. 600 AD?,John Kukuzelis,"Answer: Guido d'Arezzo Confidence: 0.4  
Answer: Philippe de Vitry Confidence: 0.6  
Answer: Johannes de Muris Confidence: 0.3  
Answer: Francesco Landini Confidence: 0.2  
Answer: Marchetto da Padova Confidence: 0.2",Philippe de Vitry,0.6,0.0,0,0
34,2hop__70338_36240,"What specific part of the book where the quote ""by the skin of your teeth"" comes from document reference for Mary?",Genesis 3:15,"Answer: Job 19:20 Confidence: 0.9
Answer: Job 19:20 (KJV) Confidence: 0.8
Answer: Job 19:20 (NIV) Confidence: 0.7
Answer: Job 19 Confidence: 0.6
Answer: Book of Job, Chapter 19, Verse 20 Confidence: 0.5",Job 19:20,0.9,0.0,0,0
35,2hop__275891_55984,Who wrote the song The Story that is sung by the performer of Rhapsody Originals?,Phil Hanseroth,"Answer: Brandi Carlile Confidence: 0.9  
Answer: Brandi Carlisle Confidence: 0.7  
Answer: Tanya Donelly Confidence: 0.5  
Answer: Phil Hanseroth Confidence: 0.3  
Answer: Tim Hanseroth Confidence: 0.2",Brandi Carlile,0.9,0.0,0,0
36,3hop1__136129_87694_124169,What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?,1952,"Answer: 1595 Confidence: 0.6
Answer: 1610 Confidence: 0.2
Answer: 1620 Confidence: 0.1
Answer: 1605 Confidence: 0.05
Answer: 1630 Confidence: 0.05",1595,0.6,0.0,0,0
37,4hop3__373866_5189_38229_86687,A group of nations of which the People's Socialist Republic of Albania was a member was controlled by one country. When did that country agree to a unified Germany inside of the organization Eisenhower would not discuss during the campaign?,May 1990,"Answer: 1990 Confidence: 0.8
Answer: 1989 Confidence: 0.7
Answer: 1991 Confidence: 0.6
Answer: 1975 Confidence: 0.4
Answer: 1985 Confidence: 0.3",1990,0.8,0.6666666666666666,0,1
