,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,Answer: Britt Robertson Confidence: 0.7,Britt Robertson,0.7,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,Answer: Yale Confidence: 0.9,Yale,0.9,0.0,0,0
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,Answer: 1945 Confidence: 0.7,1945,0.7,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900","Answer: 5,000 Confidence: 0.8","5,000",0.8,0.0,0,0
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,Answer: Old High German Confidence: 0.8,Old High German,0.8,0.0,0,0
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,Answer: Assimilation and decline. Confidence: 0.8,Assimilation and decline.,0.8,0.0,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,Answer: Henry VIII Confidence: 0.9,Henry VIII,0.9,0.0,0,0
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,Answer: Not publicly known. Confidence: 0.7,Not publicly known.,0.7,0.0,0,0
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000",Answer: 5000 Confidence: 0.3,5000,0.3,0.0,0,0
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,Answer: John Cabot's son Confidence: 0.9,John Cabot's son,0.9,0.0,0,1
