,id,question,answer,type,level,response,prediction,confidence,f1,em,gpt_eval
0,5ae3cfe05542990afbd1e1e3,"Which airport is located in Maine, Sacramento International Airport or Knox County Regional Airport?",Knox County Regional Airport,comparison,medium,"Answer: Knox County Regional Airport Confidence: 1.0 
Answer: Sacramento International Airport Confidence: 0.0 
Answer: Portland International Jetport Confidence: 0.0 
Answer: Bangor International Airport Confidence: 0.0 
Answer: Presque Isle International Airport Confidence: 0.0",Knox County Regional Airport,1.0,1.0,1,1
1,5abc1abf5542993a06baf87f,Peter Hobbs founded the company that is based in what town in Manchester?,Failsworth,bridge,medium,"Answer: Altrincham Confidence: 0.8 
Answer: Manchester Confidence: 0.1 
Answer: Sale Confidence: 0.05 
Answer: Cheadle Confidence: 0.03 
Answer: Wilmslow Confidence: 0.02",Altrincham,0.8,0.0,0,0
2,5ac250eb5542992f1f2b384f,What direction does the river that Austrolebias bellotti are found in flow?,north to south,bridge,medium,"Answer: East Confidence: 0.2 
Answer: West Confidence: 0.3 
Answer: South Confidence: 0.4 
Answer: Northwest Confidence: 0.05 
Answer: Northeast Confidence: 0.05",South,0.4,0.5,0,0
3,5a81a60455429903bc27b990,Were both Gabriela Mistral and G. K. Chesterton authors?,yes,comparison,medium,"Answer: Yes Confidence: 1.0 
Answer: No Confidence: 0.0 
Answer: Maybe Confidence: 0.0 
Answer: Possibly Confidence: 0.0 
Answer: Likely Confidence: 0.0",Yes,1.0,1.0,1,1
4,5a70fb2d5542994082a3e482,"What city, other than San Jose del Cabo, is at the the southern tip of Baja California Peninsula and is also encompassed in the Los Cabos Municipality?",Cabo San Lucas,bridge,medium,"Answer: Cabo San Lucas Confidence: 1.0 
Answer: Los Cabos Confidence: 0.0 
Answer: La Paz Confidence: 0.0 
Answer: Todos Santos Confidence: 0.0 
Answer: Cabo Confidence: 0.8",Cabo San Lucas,1.0,1.0,1,1
5,5a9050925542995651fb512f,Sky High starred the actress who is married to which actor?,John Travolta,bridge,medium,"Answer: Ben Affleck Confidence: 0.2 
Answer: Ryan Phillippe Confidence: 0.3 
Answer: Ryan Reynolds Confidence: 0.1 
Answer: Channing Tatum Confidence: 0.1 
Answer: Matthew McConaughey Confidence: 0.3",Ryan Phillippe,0.3,0.0,0,0
6,5a760b725542994ccc91869a,"What event occured at the Red Bull Arena in Salzburg, Austria and Switzerland in 2008?",UEFA Euro 2008,bridge,medium,"Answer: Euro 2008 Confidence: 0.9 
Answer: Football matches Confidence: 0.8 
Answer: UEFA Euro Confidence: 0.8 
Answer: UEFA Championship Confidence: 0.6 
Answer: World Cup Qualifiers Confidence: 0.2",Euro 2008,0.9,0.8,0,1
7,5ae60d88554299546bf83040,Sir Thomas Kyriell was executed after which battle from the Wars of the Roses?,Second Battle of St Albans,bridge,medium,"Answer: Mortimer's Cross Confidence: 0.8 
Answer: Towton Confidence: 0.6 
Answer: Barnet Confidence: 0.4 
Answer: St Albans Confidence: 0.2 
Answer: Tewkesbury Confidence: 0.1",Mortimer's Cross,0.8,0.0,0,0
8,5a8d9501554299068b959d4d,"Where is the fruit, part of the flowering plant species in the palm family Arecaceae, most popular?",Malta,bridge,medium,"Answer: Hawaii Confidence: 0.2 
Answer: Asia Confidence: 0.3 
Answer: Brazil Confidence: 0.1 
Answer: Southeast Asia Confidence: 0.4 
Answer: Caribbean Confidence: 0.0",Southeast Asia,0.4,0.0,0,0
9,5a875ce15542993e715abf16,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,bridge,easy,"Answer: Santa Cruz Beach Boardwalk Confidence: 1.0 
Answer: Pacific Park Confidence: 0.0 
Answer: Seaside Park Confidence: 0.0 
Answer: Belmont Park Confidence: 0.0 
Answer: Pier Park Confidence: 0.0",Santa Cruz Beach Boardwalk,1.0,1.0,1,1
10,5adcc89f5542994d58a2f6cf,An actress nominated for 20 academy awards was featured on a TV series about genealogical research of 12 americans hosted by whom?,Professor Henry Louis Gates,bridge,medium,"Answer: Meryl Streep Confidence: 0.8 
Answer: Henry Louis Gates Confidence: 0.9 
Answer: Lisa Kudrow Confidence: 0.4 
Answer: Jennifer Aniston Confidence: 0.1 
Answer: Oprah Winfrey Confidence: 0.2",Henry Louis Gates,0.9,0.8571428571428571,0,1
