,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,"Answer: Kirsten Vangsness Confidence: 0.8
Answer: Kathryn Lindboe Confidence: 0.7
Answer: Molly McCook Confidence: 0.6
Answer: Jane Seymour Confidence: 0.5
Answer: Vanessa Thomas Confidence: 0.4",Kirsten Vangsness,0.8,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,"Answer: University of Toronto Confidence: 0.8 
Answer: Harvard University Confidence: 0.6 
Answer: Yale University Confidence: 0.4 
Answer: Oxford University Confidence: 0.3 
Answer: Cambridge University Confidence: 0.2",University of Toronto,0.8,0.5714285714285715,0,0
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,"Answer: 1938 Confidence: 0.9  
Answer: 1937 Confidence: 0.8  
Answer: 1940 Confidence: 0.6  
Answer: 1945 Confidence: 0.4  
Answer: 1939 Confidence: 0.3",1938,0.9,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900","Answer: 16,000 Confidence: 0.85 
Answer: 15,000 Confidence: 0.75 
Answer: 17,000 Confidence: 0.70 
Answer: 14,000 Confidence: 0.65 
Answer: 18,000 Confidence: 0.60","16,000",0.85,0.0,0,0
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,"Answer: Latin Confidence: 0.9  
Answer: Old French Confidence: 0.7  
Answer: Proto-Germanic Confidence: 0.5  
Answer: Old High German Confidence: 0.4  
Answer: Middle English Confidence: 0.3",Latin,0.9,0.6666666666666666,0,0
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,"Answer: Germanization Confidence: 0.8 
Answer: Assimilation Confidence: 0.7 
Answer: Migration Confidence: 0.6 
Answer: Extinction Confidence: 0.5 
Answer: Cultural assimilation Confidence: 0.4",Germanization,0.8,0.0,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,"Answer: James I Confidence: 0.9 
Answer: Charles I Confidence: 0.7 
Answer: Henry VIII Confidence: 0.5 
Answer: Edward VI Confidence: 0.4 
Answer: Charles II Confidence: 0.3",James I,0.9,0.5714285714285715,0,1
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,"Answer: Mark Shand Confidence: 0.95 
Answer: N/A Confidence: 0.05 
Answer: N/A Confidence: 0.05 
Answer: N/A Confidence: 0.05 
Answer: N/A Confidence: 0.05",Mark Shand,0.95,0.0,0,0
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","Answer: University of Oxford, 24,000 students Confidence: 0.8
Answer: Imperial College London, 20,000 students Confidence: 0.5
Answer: University of Edinburgh, 35,000 students Confidence: 0.4
Answer: University College London, 41,000 students Confidence: 0.3
Answer: University of Cambridge, 20,000 students Confidence: 0.2","University of Oxford, 24,000 students",0.8,0.0,0,1
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,"Answer: Sebastian Cabot Confidence: 0.8 
Answer: Jacquetta Cabot Confidence: 0.4 
Answer: Lewis Cabot Confidence: 0.3 
Answer: Charles Cabot Confidence: 0.2 
Answer: Henry Cabot Confidence: 0.1",Sebastian Cabot,0.8,1.0,1,1
