ID,dataset,model,prompt,csv_file,ece,ece_ci_lower,ece_ci_upper,ece_se,brier,brier_ci_lower,brier_ci_upper,brier_se,ap_success,ap_success_ci_lower,ap_success_ci_upper,ap_success_se,ap_errors,ap_errors_ci_lower,ap_errors_ci_upper,ap_errors_se,auc_roc,auc_roc_ci_lower,auc_roc_ci_upper,auc_roc_se,acc,acc_ci_lower,acc_ci_upper,acc_se,nll,nll_ci_lower,nll_ci_upper,nll_se
vy1n12lt,HotpotQA,DeepSeek-V3,Chain of Thought,vy1n12lt.csv,0.3976452905811632,0.3647537575150308,0.4278171342685369,0.015746818985809197,0.38907745490981965,0.36094194889779563,0.4138132740480962,0.013277716543683179,0.6209483137466671,0.5814287253607946,0.6631964207660835,0.02124629409599245,0.6705298959271555,0.6327785298148214,0.7075726549565475,0.01980310477490688,0.6855562026790915,0.6567287905412936,0.7180194224795037,0.015613541301860143,0.4939879759519038,0.46392785571142287,0.5270541082164328,0.01639356320806929,1.9248119599145077,1.607463924185069,2.2659307935318114,0.17350006426595269
uo2u5m33,HotpotQA,DeepSeek-V3,Multistep,uo2u5m33.csv,0.060520974774999986,0.04451020522312502,0.09348456202687493,0.012717139882629007,0.2275421625920227,0.2159816561198099,0.23940226976955115,0.005963373852409289,0.6441070379847317,0.597170484455159,0.6886913382791217,0.02291439509670701,0.7011428164473075,0.6620533961302103,0.7404053683876889,0.02103411870889827,0.6911204481792717,0.6585771033972646,0.7226382953836227,0.01647569585485139,0.49,0.46,0.521,0.015396993323483762,0.9145485400100254,0.7335074312135844,1.1264799226034237,0.10018501701280888
5fdai5h7,HotpotQA,DeepSeek-V3,Top-k,5fdai5h7.csv,0.38927000000000117,0.36333050000000094,0.41714600000000074,0.014085590002041322,0.3614953,0.343601275,0.3799485225,0.009590343640401917,0.5032468255486515,0.4602747388843866,0.5470278878303317,0.02227425237583409,0.7666265276233685,0.7359523843595606,0.7993034538548403,0.016770407713615654,0.6887656277513646,0.6587945442204758,0.7220733608926608,0.016307101536941686,0.369,0.339975,0.397025,0.014856844410096852,1.0997906442801542,0.9853358032535711,1.2371829517667579,0.06305228276322221
71fhbj6s,MuSiQue,DeepSeek-V3,Top-k,71fhbj6s.csv,0.5976500000000006,0.5793462500000006,0.6156037500000009,0.009271145078606494,0.4411425000000001,0.42675256250000004,0.4565131875000001,0.00754507540006304,0.11864115088148722,0.08438833683201337,0.16432993277666263,0.020386962424297002,0.9608503657641604,0.9448249859418741,0.9739125062658129,0.007267596492783826,0.6887700534759357,0.6281289330735644,0.7516360516801092,0.032315495610376055,0.065,0.05,0.081,0.008032319537789639,1.3294842383036711,1.2000685964406643,1.4932740699283655,0.07808297416545584
nrs6ugxw,MuSiQue,DeepSeek-V3,Direct,nrs6ugxw.csv,0.5656499999999973,0.5475424999999974,0.5832024999999974,0.00916889416001826,0.40482250000000003,0.39183718749999996,0.41761175,0.00661216493401052,0.15872870792048205,0.1130268474993724,0.22894054882952777,0.030149888516031734,0.9682118168131023,0.9568675051749962,0.9786193988831294,0.005726880876292032,0.7331221719457014,0.6710475593363926,0.7915108741603064,0.03132271179394962,0.065,0.05,0.081,0.00799610290464434,1.07969747076641,1.0206851114121922,1.1622525406107418,0.036878994879379755
l1vy1axf,MuSiQue,DeepSeek-V3,Multistep,l1vy1axf.csv,0.2371619634050001,0.213646130299375,0.2577686387805001,0.011638807310070559,0.18342726846957122,0.17406551343246549,0.1944394073089615,0.005267309984907502,0.26647740460393354,0.21814554712400236,0.33351556754061495,0.029578018339206803,0.9306634782380709,0.911637997989381,0.946847515121683,0.009176605157471039,0.7088525441329179,0.6684561752269829,0.750520840953456,0.022286189355704217,0.144,0.123,0.16802499999999998,0.011354586634379854,0.6761513128895384,0.5573827620600909,0.8484497471458307,0.07559217397588001
b0ref9y2,2WikiMultihopQA,DeepSeek-V3,Direct,b0ref9y2.csv,0.30964999999999615,0.2799912499999963,0.3366512499999964,0.014644727315595461,0.30950249999999996,0.29545718749999994,0.3216948125,0.006664420144383222,0.3874929683240953,0.35145349570085366,0.4334586956800204,0.02143560812078446,0.766387050232303,0.738636981655397,0.7948713843273835,0.01478006515132621,0.6109744590410231,0.5811182604711093,0.6453641291014839,0.016914779934545616,0.322,0.294,0.351,0.01491777597499172,0.82281973134444,0.7907364301916725,0.8514930508687614,0.015417955283645318
krk5jsfl,HotpotQA,DeepSeek-V3,Direct,krk5jsfl.csv,0.34010000000000085,0.30999625000000125,0.36915000000000087,0.01491894466735118,0.334425,0.31635318749999997,0.3523138750000001,0.009118590464254804,0.5528661315198938,0.5092473665531201,0.5988588562770376,0.02259395616683486,0.7358613685332949,0.700811751429427,0.7703838969683321,0.01740777168851758,0.691460663034018,0.6612346500880169,0.7240601343071329,0.0159163830087509,0.413,0.382975,0.444025,0.015775773167075482,0.950031259153016,0.8804450104120705,1.046683355030679,0.04263034444774674
ck1php1l,2WikiMultihopQA,DeepSeek-V3,Multistep,ck1php1l.csv,0.09506890238689987,0.0754089694129225,0.1285943226059723,0.013984520500333983,0.24354536812642502,0.2300241327595008,0.2573533195671991,0.0070853387564649,0.565150032923874,0.5231793947833564,0.6179188145753284,0.024214986160667917,0.6822555072665337,0.6396989120373976,0.7244522032338455,0.02217474920322436,0.6424468533281483,0.6075714295170233,0.6792615511539081,0.0181173392062926,0.444,0.415,0.475025,0.0152994297786405,0.7975715346533137,0.6863565966507781,0.9398925065557477,0.06500129818181438
kjphnu2e,MuSiQue,DeepSeek-V3,Chain of Thought,kjphnu2e.csv,0.6898893360160928,0.6685005030181052,0.71072811871227,0.010977029355510178,0.6055693158953723,0.5868308023138834,0.6246005910462777,0.009861709005606624,0.24761099319963492,0.20748956619240796,0.29071047606911504,0.022044136564779743,0.9282241387069224,0.9137399359121727,0.9416302564923601,0.007100206545715448,0.7278043422072887,0.6919736486083624,0.7646135034941614,0.01810468099505248,0.14688128772635814,0.1267605633802817,0.16800804828973842,0.010774370692985213,2.3597591720725917,2.096233137639076,2.6817896624812114,0.15372800992930866
ej74u5a3,2WikiMultihopQA,DeepSeek-V3,Chain of Thought,ej74u5a3.csv,0.4089078156312632,0.37912550100200354,0.4402650300601203,0.01569964463401813,0.40226062124248496,0.37637902805611223,0.4278733567134269,0.013288075302290191,0.6169058225071545,0.5794285437867602,0.6594907064170901,0.020868158220977512,0.6989481566447308,0.6617840741378854,0.7361070049034514,0.01889795065865763,0.6942948406922206,0.6634086141397602,0.726233944091575,0.015527752978475234,0.4589178356713427,0.42685370741482964,0.4910070140280561,0.01629145340478297,1.8387085713046432,1.5561579522928664,2.13464702250008,0.15274272063446093
f18dra4e,2WikiMultihopQA,DeepSeek-V3,Top-k,f18dra4e.csv,0.3668499999999987,0.3374999999999989,0.3935537499999987,0.014555856140673727,0.3413075,0.3251641875,0.35552656250000003,0.007615615786908757,0.3429533754674565,0.3059338757644579,0.3891194500648064,0.020903196144588673,0.7759565575433731,0.7445465458543541,0.8058081421458045,0.015859407584294313,0.5977696192245182,0.5618382118723884,0.6362055869536338,0.018643079752734045,0.292,0.265,0.322,0.014428696659341314,0.9487211719148911,0.8853057308189175,1.0502349498374715,0.04207722276470293
gp51vabc,2WikiMultihopQA,Llama-3.3-70B,Top-k,gp51vabc.csv,0.39044000000000306,0.361589000000003,0.4172410000000032,0.014243401161908666,0.37085260000000003,0.3539456000000001,0.3873573250000001,0.00872901047650266,0.3777170625445777,0.33680829837013726,0.42341355813234116,0.021909235802823137,0.7610014662680982,0.7281710328602405,0.7891155178312219,0.014563958694311156,0.5795691598336749,0.544503049780772,0.6148087910003864,0.017857556891214533,0.311,0.284,0.34,0.014166894504438867,1.3304110227841262,1.127968939172793,1.5548259560307511,0.11220428232174678
230q321e,2WikiMultihopQA,Llama-3.3-70B,Multistep,230q321e.csv,0.16047918374015002,0.13434996728647508,0.19479559549980005,0.014887475696620111,0.24493094679280375,0.2281653153950432,0.26411425497229873,0.00906195795227989,0.6159718546422308,0.5690593110519553,0.6724994045650977,0.027318436710632325,0.7352094158455882,0.6938515618403248,0.7751980922226384,0.02062855096761542,0.6917442455242967,0.6583946580181255,0.7263018429876597,0.01765149383606081,0.425,0.396,0.458025,0.01583553077844362,0.9256797648207806,0.7794120856466265,1.110752659518097,0.08704605981099528
2h1uprtd,HotpotQA,Llama-3.3-70B,Multistep,2h1uprtd.csv,0.17702497785780003,0.15030348646416,0.2087158979629801,0.014770605021042887,0.25440951282698987,0.23927257785615305,0.2692293924141967,0.007532839821387084,0.6160176685099101,0.5697851684309473,0.6654251448916724,0.024990244132473638,0.7207756133831096,0.6821242263689292,0.7582024753442286,0.019481020336107692,0.6906390224358975,0.6597621678037104,0.7219045257435133,0.016633481879632716,0.48,0.447975,0.513025,0.016246240806424738,0.9525216170362115,0.7728591394375556,1.1711509743058928,0.10064535089238251
ukkob161,MuSiQue,Llama-3.3-70B,Multistep,ukkob161.csv,0.11210526264433864,0.09257960227104954,0.13458280798911193,0.010853650117162961,0.13299612160465663,0.12118501450023268,0.1459369945620318,0.006334144643713705,0.22503988678184106,0.17605630936834143,0.2948674997209875,0.030493048021399793,0.9286363301106348,0.9055919926394048,0.9476512019571688,0.010451200219160257,0.6863954003453357,0.6333710515695936,0.733782598326687,0.02508017835003586,0.12725450901803606,0.10721442885771543,0.14829659318637275,0.010594760317646083,0.5560501340005445,0.4301962157081205,0.7080221641812546,0.07280831068712516
sg45ifny,2WikiMultihopQA,Llama-3.3-70B,Direct,sg45ifny.csv,0.4209949238578715,0.396363197969547,0.45666979695431786,0.015099080077569448,0.40693421319796963,0.38874363705583764,0.42724737817258895,0.009650705824501614,0.419460575278478,0.37557920788824956,0.4657914238717984,0.02300900880905412,0.7266475796514479,0.693133349598669,0.7578935848865903,0.01613922678435668,0.5646740542747892,0.5294921517736629,0.599663106641019,0.017706014282921168,0.332994923857868,0.3015228426395939,0.3634517766497462,0.015513073517404129,1.3488490255590404,1.1542803227463438,1.5620482682746966,0.10357912161874804
74uhoup5,MuSiQue,Llama-3.3-70B,Top-k,74uhoup5.csv,0.5795000000000032,0.5599937500000031,0.5974012500000034,0.009568799136486061,0.43152500000000016,0.4144006250000001,0.44834850000000004,0.008673913639186404,0.10664689929483696,0.07239018598652283,0.15251576522738045,0.02041717340122232,0.9720724182295372,0.962452766962993,0.9804370507448579,0.004609946348802538,0.713514375087167,0.6545869075715964,0.7656362926740111,0.02749648165545455,0.053,0.039975000000000004,0.068,0.007067970869507897,1.7797588685742394,1.5074909577871944,2.101495691396963,0.1483988805108064
ry4hwozb,MuSiQue,Llama-3.3-70B,Chain of Thought,ry4hwozb.csv,0.5693548387096792,0.5477772177419371,0.5950705645161307,0.011662309685462115,0.4723991935483872,0.4550259576612904,0.49330317540322594,0.010009783496315518,0.26489996990971465,0.21273129390968468,0.32567167886483606,0.028335404460393624,0.9407720348648213,0.9262404101076953,0.9544034026085072,0.007206653053508556,0.7494734963412458,0.7064980805206089,0.7894347888065056,0.020695761591477596,0.1310483870967742,0.10985383064516129,0.15123487903225805,0.010680761314933734,3.8164938725501902,3.2805598741403657,4.428020230180367,0.294294217970224
9bwc6w31,HotpotQA,Llama-3.3-70B,Chain of Thought,9bwc6w31.csv,0.3702215508559894,0.34223363544813423,0.3982104733131904,0.014803599894256197,0.3514579053373616,0.32915583836858014,0.37448830815709966,0.01193031418637058,0.6510187195039394,0.6112127156176996,0.69169262325838,0.020546467724278324,0.742265914774134,0.7062782653942693,0.7792986587886533,0.018500603895982824,0.7444771092590478,0.7141209123062409,0.7749858449306166,0.014862800811697508,0.46424974823766363,0.43303121852970794,0.4944612286002014,0.016039029959936488,4.017808604535781,3.3637373648071476,4.651766634451728,0.32446477172173
n4s2lcks,HotpotQA,Llama-3.3-70B,Top-k,n4s2lcks.csv,0.3742900000000028,0.3461457500000031,0.40215200000000273,0.014353514862248963,0.3426601000000001,0.32088550000000005,0.3623681275000001,0.010465205033421429,0.5438030475140877,0.5013603514547866,0.5910558920350141,0.02307076369023259,0.7883343004789287,0.759304436367585,0.8175358483985347,0.015307630200465522,0.7259664515908342,0.6991598920296087,0.7550505893392423,0.01439817801426021,0.373,0.343975,0.403,0.015583567196459444,2.0441253275204945,1.6710583096375116,2.4379760379607656,0.20124255804363747
ab35fs5e,2WikiMultihopQA,Llama-3.3-70B,Chain of Thought,ab35fs5e.csv,0.33222999999999925,0.30258124999999864,0.362611249999999,0.014837773597235652,0.3284927,0.30670604,0.35010363250000004,0.011136270520945488,0.6142136600107089,0.5706431843954298,0.6593106122157777,0.022413475747192955,0.7697189947082274,0.7348382390369844,0.8011002144593108,0.01701487581999747,0.7310655953635405,0.700000613123817,0.7593571686860571,0.015331988561661916,0.416,0.386,0.445,0.015645620519539688,3.532302599863627,2.9495807639086937,4.164551514781177,0.29914624138951557
