,id,question,answer,type,level,response,prediction,confidence,f1,em,gpt_eval
0,5ae3cfe05542990afbd1e1e3,"Which airport is located in Maine, Sacramento International Airport or Knox County Regional Airport?",Knox County Regional Airport,comparison,medium,"Answer: Knox County Regional Airport Confidence: 0.95
Answer: Sacramento International Airport Confidence: 0.05",Knox County Regional Airport,0.95,1.0,1,1
1,5abc1abf5542993a06baf87f,Peter Hobbs founded the company that is based in what town in Manchester?,Failsworth,bridge,medium,"Answer: Oldham Confidence: 0.6 
Answer: Stockport Confidence: 0.5 
Answer: Salford Confidence: 0.4 
Answer: Bolton Confidence: 0.3 
Answer: Bury Confidence: 0.2",Oldham,0.6,0.0,0,0
2,5ac250eb5542992f1f2b384f,What direction does the river that Austrolebias bellotti are found in flow?,north to south,bridge,medium,"Answer: eastward Confidence: 0.6
Answer: southeastward Confidence: 0.5
Answer: northeastward Confidence: 0.4
Answer: southward Confidence: 0.3
Answer: westward Confidence: 0.2",eastward,0.6,0.0,0,0
3,5a81a60455429903bc27b990,Were both Gabriela Mistral and G. K. Chesterton authors?,yes,comparison,medium,"Answer: Yes Confidence: 0.95 
Answer: Yes, both were authors Confidence: 0.90 
Answer: Yes, writers Confidence: 0.85 
Answer: Yes, literary figures Confidence: 0.80 
Answer: Yes, both literary figures Confidence: 0.75",Yes,0.95,1.0,1,1
4,5a70fb2d5542994082a3e482,"What city, other than San Jose del Cabo, is at the the southern tip of Baja California Peninsula and is also encompassed in the Los Cabos Municipality?",Cabo San Lucas,bridge,medium,"Answer: Cabo San Lucas Confidence: 0.95 
Answer: La Paz Confidence: 0.65 
Answer: Todos Santos Confidence: 0.50 
Answer: Loreto Confidence: 0.40 
Answer: Mulegé Confidence: 0.30",Cabo San Lucas,0.95,1.0,1,1
5,5a9050925542995651fb512f,Sky High starred the actress who is married to which actor?,John Travolta,bridge,medium,"Answer: Chris Henchy Confidence: 0.9 
Answer: Matthew Broderick Confidence: 0.6 
Answer: Eric Winter Confidence: 0.4 
Answer: Ben Stiller Confidence: 0.3 
Answer: John Travolta Confidence: 0.2",Chris Henchy,0.9,0.0,0,0
6,5a760b725542994ccc91869a,"What event occured at the Red Bull Arena in Salzburg, Austria and Switzerland in 2008?",UEFA Euro 2008,bridge,medium,"Answer: UEFA Euro 2008 Confidence: 0.9 
Answer: Euro 2008 Group Matches Confidence: 0.8 
Answer: UEFA European Football Championship 2008 Confidence: 0.7 
Answer: Austria-Switzerland Football Matches 2008 Confidence: 0.5 
Answer: Euro 2008 Quarterfinals Confidence: 0.4",UEFA Euro 2008,0.9,1.0,1,1
7,5ae60d88554299546bf83040,Sir Thomas Kyriell was executed after which battle from the Wars of the Roses?,Second Battle of St Albans,bridge,medium,"Answer: Battle of Castillon Confidence: 0.8
Answer: Battle of St Albans Confidence: 0.6
Answer: Battle of Wakefield Confidence: 0.5
Answer: Battle of Towton Confidence: 0.4
Answer: Battle of Mortimer's Cross Confidence: 0.3",Battle of Castillon,0.8,0.5,0,0
8,5a8d9501554299068b959d4d,"Where is the fruit, part of the flowering plant species in the palm family Arecaceae, most popular?",Malta,bridge,medium,"Answer: Southeast Asia Confidence: 0.8
Answer: India Confidence: 0.7
Answer: Middle East Confidence: 0.6
Answer: Brazil Confidence: 0.5
Answer: Africa Confidence: 0.4",Southeast Asia,0.8,0.0,0,0
9,5a875ce15542993e715abf16,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,bridge,easy,"Answer: Santa Cruz Beach Boardwalk Confidence: 0.95 
Answer: Ocean Beach Park Confidence: 0.60 
Answer: Pacific Park Confidence: 0.50 
Answer: Belmont Park Confidence: 0.40 
Answer: Playland Confidence: 0.30",Santa Cruz Beach Boardwalk,0.95,1.0,1,1
