,id,question,answer,type,level,response,prediction,confidence,f1,em,gpt_eval
0,5ae3cfe05542990afbd1e1e3,"Which airport is located in Maine, Sacramento International Airport or Knox County Regional Airport?",Knox County Regional Airport,comparison,medium,"Answer: Knox County Regional Airport Confidence: 0.9  
Answer: Sacramento International Airport Confidence: 0.1  
Answer: Portland International Jetport Confidence: 0.5  
Answer: Bangor International Airport Confidence: 0.4  
Answer: Bar Harbor Airport Confidence: 0.3",Knox County Regional Airport,0.9,1.0,1,1
1,5abc1abf5542993a06baf87f,Peter Hobbs founded the company that is based in what town in Manchester?,Failsworth,bridge,medium,"Answer: Salford. Confidence: 0.7  
Answer: Manchester. Confidence: 0.6  
Answer: Stockport. Confidence: 0.4  
Answer: Oldham. Confidence: 0.3  
Answer: Bury. Confidence: 0.2",Salford.,0.7,0.0,0,0
2,5ac250eb5542992f1f2b384f,What direction does the river that Austrolebias bellotti are found in flow?,north to south,bridge,medium,"Answer: South  Confidence: 0.7  
Answer: Southeast  Confidence: 0.6  
Answer: Southwest  Confidence: 0.5  
Answer: East  Confidence: 0.4  
Answer: Northeast  Confidence: 0.3",South,0.7,0.5,0,0
3,5a81a60455429903bc27b990,Were both Gabriela Mistral and G. K. Chesterton authors?,yes,comparison,medium,"Answer: Yes. Confidence: 0.9  
Answer: No. Confidence: 0.1  
Answer: Both authors. Confidence: 0.8  
Answer: Not both. Confidence: 0.2  
Answer: Mistral - Yes, Chesterton - Yes. Confidence: 0.85",Yes.,0.9,1.0,1,1
4,5a70fb2d5542994082a3e482,"What city, other than San Jose del Cabo, is at the the southern tip of Baja California Peninsula and is also encompassed in the Los Cabos Municipality?",Cabo San Lucas,bridge,medium,"Answer: Cabo San Lucas  Confidence: 0.9  
Answer: La Paz  Confidence: 0.2  
Answer: Todos Santos  Confidence: 0.1  
Answer: San Lucas  Confidence: 0.1  
Answer: Cabo Pulmo  Confidence: 0.1",Cabo San Lucas,0.9,1.0,1,1
5,5a9050925542995651fb512f,Sky High starred the actress who is married to which actor?,John Travolta,bridge,medium,"Answer: John Legend Confidence: 0.7  
Answer: Chrissy Teigen Confidence: 0.7  
Answer: Adam Levine Confidence: 0.5  
Answer: Justin Timberlake Confidence: 0.4  
Answer: Ryan Gosling Confidence: 0.3",John Legend,0.7,0.5,0,0
6,5a760b725542994ccc91869a,"What event occured at the Red Bull Arena in Salzburg, Austria and Switzerland in 2008?",UEFA Euro 2008,bridge,medium,"Answer: UEFA Euro 2008 matches. Confidence: 0.9  
Answer: UEFA Euro 2008. Confidence: 0.9  
Answer: Soccer tournament. Confidence: 0.8  
Answer: Austria Switzerland Euro 2008. Confidence: 0.7  
Answer: Group stage matches. Confidence: 0.6",UEFA Euro 2008 matches.,0.9,0.8571428571428571,0,1
7,5ae60d88554299546bf83040,Sir Thomas Kyriell was executed after which battle from the Wars of the Roses?,Second Battle of St Albans,bridge,medium,"Answer: Tewkesbury  Confidence: 0.9  
Answer: Barnet  Confidence: 0.7  
Answer: Northampton  Confidence: 0.6  
Answer: St. Albans  Confidence: 0.5  
Answer: Towton  Confidence: 0.4",Tewkesbury,0.9,0.0,0,0
8,5a8d9501554299068b959d4d,"Where is the fruit, part of the flowering plant species in the palm family Arecaceae, most popular?",Malta,bridge,medium,"Answer: Southeast Asia Confidence: 0.8  
Answer: South America Confidence: 0.6  
Answer: Caribbean Confidence: 0.5  
Answer: Africa Confidence: 0.4  
Answer: Pacific Islands Confidence: 0.5",Southeast Asia,0.8,0.0,0,0
9,5a875ce15542993e715abf16,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,bridge,easy,"Answer: Santa Cruz Beach Boardwalk Confidence: 0.9  
Answer: Boardwalk amusement park Confidence: 0.8  
Answer: Santa Cruz amusement park Confidence: 0.7  
Answer: Pacific Ocean amusement park Confidence: 0.5  
Answer: California beach park Confidence: 0.4",Santa Cruz Beach Boardwalk,0.9,1.0,1,1
