,id,question,answer,type,level,response,prediction,confidence,f1,em,gpt_eval
0,5ae3cfe05542990afbd1e1e3,"Which airport is located in Maine, Sacramento International Airport or Knox County Regional Airport?",Knox County Regional Airport,comparison,medium,Answer: Knox County Regional Airport Confidence: 0.9,Knox County Regional Airport,0.9,1.0,1,1
1,5abc1abf5542993a06baf87f,Peter Hobbs founded the company that is based in what town in Manchester?,Failsworth,bridge,medium,Answer: Salford Confidence: 0.7,Salford,0.7,0.0,0,0
2,5ac250eb5542992f1f2b384f,What direction does the river that Austrolebias bellotti are found in flow?,north to south,bridge,medium,Answer: East Confidence: 0.6,East,0.6,0.0,0,0
3,5a81a60455429903bc27b990,Were both Gabriela Mistral and G. K. Chesterton authors?,yes,comparison,medium,Answer: yes Confidence: 0.95,yes,0.95,1.0,1,1
4,5a70fb2d5542994082a3e482,"What city, other than San Jose del Cabo, is at the the southern tip of Baja California Peninsula and is also encompassed in the Los Cabos Municipality?",Cabo San Lucas,bridge,medium,Answer: Cabo San Lucas Confidence: 0.9,Cabo San Lucas,0.9,1.0,1,1
5,5a9050925542995651fb512f,Sky High starred the actress who is married to which actor?,John Travolta,bridge,medium,Answer: Dax Shepard Confidence: 0.8,Dax Shepard,0.8,0.0,0,0
6,5a760b725542994ccc91869a,"What event occured at the Red Bull Arena in Salzburg, Austria and Switzerland in 2008?",UEFA Euro 2008,bridge,medium,Answer: UEFA Euro 2008 match Confidence: 0.7,UEFA Euro 2008 match,0.7,0.8571428571428571,0,1
7,5ae60d88554299546bf83040,Sir Thomas Kyriell was executed after which battle from the Wars of the Roses?,Second Battle of St Albans,bridge,medium,Answer: Battle of Towton Confidence: 0.7,Battle of Towton,0.7,0.5,0,0
8,5a8d9501554299068b959d4d,"Where is the fruit, part of the flowering plant species in the palm family Arecaceae, most popular?",Malta,bridge,medium,Answer: Southeast Asia Confidence: 0.9,Southeast Asia,0.9,0.0,0,0
9,5a875ce15542993e715abf16,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,bridge,easy,Answer: Santa Cruz Beach Boardwalk Confidence: 0.9,Santa Cruz Beach Boardwalk,0.9,1.0,1,1
10,5adcc89f5542994d58a2f6cf,An actress nominated for 20 academy awards was featured on a TV series about genealogical research of 12 americans hosted by whom?,Professor Henry Louis Gates,bridge,medium,Answer: Henry Louis Gates Jr. Confidence: 0.85,Henry Louis Gates Jr.,0.85,0.75,0,1
11,5a8fafb15542992414482b3f,Which movement was lead by the poet who is included among those David S. Reynolds is an expert on?,transcendentalist,bridge,hard,Answer: Transcendentalism Confidence: 0.8,Transcendentalism,0.8,0.0,0,1
