,id,question,answer,type,response,prediction,confidence,f1,em,gpt_eval
0,695d5d160bdc11eba7f7acde48001122,Where was the director of film Breakup Buddies born?,Taiyuan,compositional,"Answer: Ningbo, China Confidence: 0.9 
Answer: Shanghai, China Confidence: 0.7 
Answer: Beijing, China Confidence: 0.5 
Answer: Guangzhou, China Confidence: 0.3 
Answer: Wuhan, China Confidence: 0.2","Ningbo, China",0.9,0.0,0,0
1,d8de3d3d088411ebbd6dac1f6bf848b6,Do Jean-Martin De Prades and Marcel Henry have the same nationality?,yes,comparison,"Answer: No Confidence: 0.9 
Answer: Yes Confidence: 0.1 
Answer: Unknown Confidence: 0.05 
Answer: Different nationalities Confidence: 0.8 
Answer: Same nationalities Confidence: 0.1",No,0.9,0.0,0,0
2,dc53832a0bd911eba7f7acde48001122,Where was the director of film Silks And Satins born?,Colorado,compositional,"Answer: San Francisco, California Confidence: 0.7 
Answer: Chicago, Illinois Confidence: 0.6 
Answer: New York City, New York Confidence: 0.5 
Answer: Los Angeles, California Confidence: 0.4 
Answer: Boston, Massachusetts Confidence: 0.3","San Francisco, California",0.7,0.0,0,0
3,05a2dec4088811ebbd6eac1f6bf848b6,Do both films Just Getting Started (Film) and The Dove'S Lost Necklace have the directors that share the same nationality?,no,bridge_comparison,"Answer: No Confidence: 0.9
Answer: Yes Confidence: 0.1
Answer: Unlikely Confidence: 0.05
Answer: Maybe Confidence: 0.05
Answer: Possibly Confidence: 0.02",No,0.9,1.0,1,1
4,4ed23bf80bda11eba7f7acde48001122,Where was the performer of song (Last Night) I Heard You Crying In Your Sleep born?,Mount Olive,compositional,"Answer: Alabama Confidence: 0.85 
Answer: Florence, Alabama Confidence: 0.75 
Answer: Huntsville, Alabama Confidence: 0.65 
Answer: Mississippi Confidence: 0.55 
Answer: Nashville, Tennessee Confidence: 0.45",Alabama,0.85,0.0,0,0
5,d0a0a43c0bdd11eba7f7acde48001122,Which country Harald Ii Of Denmark's mother is from?,Polish,compositional,"Answer: Poland Confidence: 0.9 
Answer: Denmark Confidence: 0.5 
Answer: Germany Confidence: 0.2 
Answer: Norway Confidence: 0.1 
Answer: Sweden Confidence: 0.1",Poland,0.9,0.0,0,1
6,f8378b9e08ab11ebbd82ac1f6bf848b6,"Which film has the director who is older, Three Violent People or Girls In White?",Girls In White,bridge_comparison,"Answer: Three Violent People Confidence: 0.8  
Answer: Girls In White Confidence: 0.2  
Answer: - Confidence: 0.0  
Answer: - Confidence: 0.0  
Answer: - Confidence: 0.0",Three Violent People,0.8,0.0,0,0
7,fc04494a0baf11ebab90acde48001122,"Who is the paternal grandfather of Hugh Montgomerie, 7Th Earl Of Eglinton?","Robert Seton, 1st Earl of Winton",inference,"Answer: Alexander Montgomerie, 6th Earl of Eglinton Confidence: 0.9 
Answer: Hugh Montgomerie, 5th Earl of Eglinton Confidence: 0.7 
Answer: Archibald Montgomerie, 11th Earl of Eglinton Confidence: 0.2 
Answer: John Montgomerie Confidence: 0.1 
Answer: None Confidence: 0.05","Alexander Montgomerie, 6th Earl of Eglinton",0.9,0.3333333333333333,0,0
8,84b56dcc0bd911eba7f7acde48001122,Where was the director of film Little Alvin And The Mini-Munks born?,American,compositional,"Answer: New York, USA Confidence: 0.7 
Answer: Los Angeles, USA Confidence: 0.6 
Answer: Chicago, USA Confidence: 0.5 
Answer: London, UK Confidence: 0.4 
Answer: Toronto, Canada Confidence: 0.3","New York, USA",0.7,0.0,0,1
9,47bafeb40bde11eba7f7acde48001122,"When did Joachim I, Prince Of Anhalt-Dessau's father die?",12 June 1516,compositional,"Answer: 1751 Confidence: 0.9 
Answer: 1750 Confidence: 0.7 
Answer: 1752 Confidence: 0.5 
Answer: 1749 Confidence: 0.3 
Answer: 1753 Confidence: 0.2",1751,0.9,0.0,0,0
10,c0007a7a0bd911eba7f7acde48001122,Which award the director of film Pataakha received?,National Film Award for Best Music Direction,compositional,"Answer: Filmfare Critics Award for Best Director Confidence: 0.8 
Answer: Filmfare Award for Best Director Confidence: 0.6 
Answer: National Film Award Confidence: 0.4 
Answer: IIFA Award for Best Director Confidence: 0.3 
Answer: Zee Cine Award for Best Director Confidence: 0.2",Filmfare Critics Award for Best Director,0.8,0.4615384615384615,0,0
11,90934fd908dc11ebbd9cac1f6bf848b6,"Which film whose director is younger, Kiladigalu or He'S My Girl?",Kiladigalu,bridge_comparison,"Answer: He'S My Girl Confidence: 0.8
Answer: Kiladigalu Confidence: 0.2",He'S My Girl,0.8,0.0,0,0
12,8d18786e086a11ebbd5fac1f6bf848b6,"Which film whose director is younger, Dagudu Moothalu or Port Of Seven Seas?",Dagudu Moothalu,bridge_comparison,"Answer: Port Of Seven Seas Confidence: 0.7 
Answer: Dagudu Moothalu Confidence: 0.3",Port Of Seven Seas,0.7,0.0,0,0
13,e28d440408ca11ebbd92ac1f6bf848b6,"Which film whose director was born first, 11 Harrowhouse or A Little Sister Of Everybody?",A Little Sister Of Everybody,bridge_comparison,"Answer: A Little Sister Of Everybody Confidence: 0.85
Answer: 11 Harrowhouse Confidence: 0.15",A Little Sister Of Everybody,0.85,1.0,1,1
14,e1ae74be0bda11eba7f7acde48001122,Where did the performer of song Girlfriend (Alicia Keys Song) study?,Columbia,compositional,"Answer: Professional Performing Arts School Confidence: 0.8
Answer: Columbia University Confidence: 0.5
Answer: NYU Tisch School of the Arts Confidence: 0.3
Answer: Juilliard School Confidence: 0.2
Answer: LaGuardia High School Confidence: 0.1",Professional Performing Arts School,0.8,0.0,0,0
15,a5e94ab0086711ebbd5eac1f6bf848b6,"Which film has the director died later, La Muerte En El Desfiladero or O, Brazen Age?",La Muerte En El Desfiladero,bridge_comparison,"Answer: O, Brazen Age Confidence: 0.8 
Answer: La Muerte En El Desfiladero Confidence: 0.2 
Answer: Unknown Confidence: 0.1 
Answer: N/A Confidence: 0.1 
Answer: N/A Confidence: 0.1","O, Brazen Age",0.8,0.0,0,0
16,9509d38c0bdb11eba7f7acde48001122,When is the creator of Holland'S Next Top Model 's birthday?,"December 4, 1973",compositional,"Answer: 11 March 1970 Confidence: 0.8
Answer: 3 March 1969 Confidence: 0.6
Answer: 15 May 1971 Confidence: 0.4
Answer: 22 November 1968 Confidence: 0.3
Answer: 8 June 1972 Confidence: 0.2",11 March 1970,0.8,0.0,0,0
17,cecadcce0bdb11eba7f7acde48001122,Where was the performer of song Suicide Social born?,Alençon,compositional,"Answer: Houston, Texas Confidence: 0.8 
Answer: Los Angeles, California Confidence: 0.6 
Answer: New York, New York Confidence: 0.4 
Answer: Chicago, Illinois Confidence: 0.3 
Answer: Atlanta, Georgia Confidence: 0.2","Houston, Texas",0.8,0.0,0,0
18,d667e18f08d911ebbd9cac1f6bf848b6,"Which film has the director who was born earlier, The Marseille Contract or Strangers Of The Night?",Strangers Of The Night,bridge_comparison,"Answer: The Marseille Contract Confidence: 0.9 
Answer: Strangers Of The Night Confidence: 0.1",The Marseille Contract,0.9,0.0,0,0
19,64efc0e908b211ebbd85ac1f6bf848b6,"Which film has the director who was born earlier, Face Of A Fugitive or Cage Of Gold?",Cage Of Gold,bridge_comparison,"Answer: Cage Of Gold Confidence: 0.8 
Answer: Face Of A Fugitive Confidence: 0.2",Cage Of Gold,0.8,1.0,1,1
20,4c6a905e088311ebbd6dac1f6bf848b6,"Which film has the director died later, A Light Woman or Our Mother'S House?",Our Mother'S House,bridge_comparison,"Answer: Our Mother'S House Confidence: 0.8
Answer: A Light Woman Confidence: 0.2",Our Mother'S House,0.8,1.0,1,1
21,96beb0b3086111ebbd5dac1f6bf848b6,"Which film came out earlier, Call Of The Flesh or Blonde Or Brunette?",Blonde Or Brunette,comparison,"Answer: Blonde Or Brunette Confidence: 0.85 
Answer: Call Of The Flesh Confidence: 0.15",Blonde Or Brunette,0.85,1.0,1,1
22,098d51b20bdb11eba7f7acde48001122,Who is the father of the composer of film Kadambari (Film)?,Shankar Ghosh,compositional,"Answer: Satyajit Ray Confidence: 0.8  
Answer: Sukumar Ray Confidence: 0.6  
Answer: Ravi Shankar Confidence: 0.4  
Answer: Anil Biswas Confidence: 0.3  
Answer: Hemanta Mukherjee Confidence: 0.2",Satyajit Ray,0.8,0.0,0,0
23,6b58975d08df11ebbda0ac1f6bf848b6,"Which film has the director born first, Demons Of War or Farce Of The Penguins?",Farce Of The Penguins,bridge_comparison,"Answer: Demons Of War Confidence: 0.8 
Answer: Farce Of The Penguins Confidence: 0.2",Demons Of War,0.8,0.3333333333333333,0,0
24,f34d188608cb11ebbd93ac1f6bf848b6,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",I'Ll Be Going Now,bridge_comparison,"Answer: I'Ll Be Going Now Confidence: 0.7 
Answer: Playing It Wild Confidence: 0.3",I'Ll Be Going Now,0.7,1.0,1,1
25,0788eaa40bde11eba7f7acde48001122,Where was the place of burial of Al-Mu'Tasim's father?,Iraq,compositional,"Answer: Baghdad Confidence: 0.8
Answer: Samarra Confidence: 0.6
Answer: Mecca Confidence: 0.4
Answer: Medina Confidence: 0.3
Answer: Kufa Confidence: 0.2",Baghdad,0.8,0.0,0,1
26,3f4a39800bb011ebab90acde48001122,Who is the maternal grandmother of John Woodville?,Margherita del Balzo,inference,"Answer: Jacquetta of Luxembourg Confidence: 0.9
Answer: Elizabeth Woodville's mother Confidence: 0.6
Answer: Elizabeth Wydeville Confidence: 0.4
Answer: Anne Woodville Confidence: 0.3
Answer: Margaret Woodville Confidence: 0.2",Jacquetta of Luxembourg,0.9,0.0,0,0
27,27bdf22b08d111ebbd95ac1f6bf848b6,"Which film has the director who was born later, The Demi-Paradise or How To Murder Your Wife?",How To Murder Your Wife,bridge_comparison,"Answer: How To Murder Your Wife Confidence: 0.9
Answer: The Demi-Paradise Confidence: 0.1",How To Murder Your Wife,0.9,1.0,1,1
28,7d8c2e1808dd11ebbd9dac1f6bf848b6,Are Irene Greif and Derrick Burroughs from the same country?,yes,comparison,"Answer: No Confidence: 0.9
Answer: Yes Confidence: 0.1",No,0.9,0.0,0,0
29,9d482cae0bdd11eba7f7acde48001122,Where was the father of Chung Eui-Sun born?,Gangwon Province,compositional,"Answer: Ulsan, South Korea Confidence: 0.8 
Answer: Seoul, South Korea Confidence: 0.5 
Answer: Daegu, South Korea Confidence: 0.4 
Answer: Busan, South Korea Confidence: 0.3 
Answer: Gyeongju, South Korea Confidence: 0.2","Ulsan, South Korea",0.8,0.0,0,0
30,ab69635e089811ebbd77ac1f6bf848b6,Do director of film Born American and director of film The White Raven (1998 Film) share the same nationality?,yes,bridge_comparison,"Answer: Yes Confidence: 0.9 
Answer: No Confidence: 0.1 
Answer: Unknown Confidence: 0.0 
Answer: N/A Confidence: 0.0 
Answer: N/A Confidence: 0.0",Yes,0.9,1.0,1,1
31,252632880bde11eba7f7acde48001122,When was Ting-Xing Ye's husband born?,27 October 1945,compositional,"Answer: 1943 Confidence: 0.5
Answer: 1945 Confidence: 0.4
Answer: 1942 Confidence: 0.3
Answer: 1944 Confidence: 0.2
Answer: 1946 Confidence: 0.1",1943,0.5,0.0,0,0
32,f52b28400bdd11eba7f7acde48001122,What is the place of birth of Alexandra Hasluck's husband?,"Fremantle, Western Australia",compositional,"Answer: Perth, Australia Confidence: 0.9
Answer: Sydney, Australia Confidence: 0.3
Answer: Melbourne, Australia Confidence: 0.2
Answer: Adelaide, Australia Confidence: 0.1
Answer: Brisbane, Australia Confidence: 0.1","Perth, Australia",0.9,0.4,0,0
33,2eb7969109b111ebbdb0ac1f6bf848b6,"Which song came out first, Baby, It'S Ok or Boy Pop?",Boy Pop,comparison,"Answer: Boy Pop Confidence: 0.8 
Answer: Baby, It'S Ok Confidence: 0.2",Boy Pop,0.8,1.0,1,1
34,656cfe0a0bdc11eba7f7acde48001122,"When did Helena Kantakouzene, Empress Of Trebizond's husband die?",1 November 1463,compositional,"Answer: 1340 Confidence: 0.9 
Answer: 1338 Confidence: 0.7 
Answer: 1341 Confidence: 0.5 
Answer: 1342 Confidence: 0.3 
Answer: 1339 Confidence: 0.2",1340,0.9,0.0,0,0
35,90c88e1a0bdd11eba7f7acde48001122,Where did the director of film The Sun Sets At Dawn study?,Trinity Hall,compositional,"Answer: Hollywood High School Confidence: 0.7 
Answer: Los Angeles City College Confidence: 0.6 
Answer: University of California, Los Angeles (UCLA) Confidence: 0.5 
Answer: University of Southern California (USC) Confidence: 0.4 
Answer: California State University, Northridge Confidence: 0.3",Hollywood High School,0.7,0.0,0,0
36,e7393616094b11ebbdaeac1f6bf848b6,"Which film was released more recently, Osmondagi Bolalar or Mcdull: Rise Of The Rice Cooker?",Mcdull: Rise Of The Rice Cooker,comparison,"Answer: Mcdull: Rise Of The Rice Cooker Confidence: 0.8 
Answer: Osmondagi Bolalar Confidence: 0.6 
Answer: Can't determine Confidence: 0.2 
Answer: Both in same year Confidence: 0.1 
Answer: Mcdull more recent release Confidence: 0.4",Mcdull: Rise Of The Rice Cooker,0.8,1.0,1,1
37,945447800bd911eba7f7acde48001122,"When is James Stanley, 10Th Earl Of Derby's father's birthday?",19 January 1628,compositional,"Answer: 13 July 1865 Confidence: 0.7 
Answer: 1 February 1873 Confidence: 0.2 
Answer: 6 August 1907 Confidence: 0.1 
Answer: 22 September 1890 Confidence: 0.05 
Answer: 18 April 1853 Confidence: 0.02",13 July 1865,0.7,0.0,0,0
38,327d00420bde11eba7f7acde48001122,Where was the place of death of the director of film The Earring?,Madrid,compositional,"Answer: Los Angeles Confidence: 0.6
Answer: New York City Confidence: 0.3
Answer: Paris Confidence: 0.1
Answer: Rome Confidence: 0.05
Answer: London Confidence: 0.05",Los Angeles,0.6,0.0,0,0
