,id,question,answer,type,response,prediction,confidence,f1,em,gpt_eval
0,695d5d160bdc11eba7f7acde48001122,Where was the director of film Breakup Buddies born?,Taiyuan,compositional,"Answer: Zhang Jiajia Confidence: 0.8  
Answer: China Confidence: 0.7  
Answer: Shanghai Confidence: 0.6  
Answer: Beijing Confidence: 0.5  
Answer: Guangdong Confidence: 0.4",Zhang Jiajia,0.8,0.0,0,0
1,d8de3d3d088411ebbd6dac1f6bf848b6,Do Jean-Martin De Prades and Marcel Henry have the same nationality?,yes,comparison,"Answer: No Confidence: 0.8  
Answer: Yes Confidence: 0.1  
Answer: Different Confidence: 0.7  
Answer: Similar Confidence: 0.2  
Answer: Uncertain Confidence: 0.5",No,0.8,0.0,0,0
2,dc53832a0bd911eba7f7acde48001122,Where was the director of film Silks And Satins born?,Colorado,compositional,"Answer: England Confidence: 0.7  
Answer: United Kingdom Confidence: 0.6  
Answer: USA Confidence: 0.3  
Answer: France Confidence: 0.2  
Answer: Australia Confidence: 0.1",England,0.7,0.0,0,0
3,05a2dec4088811ebbd6eac1f6bf848b6,Do both films Just Getting Started (Film) and The Dove'S Lost Necklace have the directors that share the same nationality?,no,bridge_comparison,"Answer: No Confidence: 0.8  
Answer: Yes Confidence: 0.1  
Answer: Different nationalities Confidence: 0.6  
Answer: Same nationality Confidence: 0.2  
Answer: Uncertain Confidence: 0.5",No,0.8,1.0,1,1
4,4ed23bf80bda11eba7f7acde48001122,Where was the performer of song (Last Night) I Heard You Crying In Your Sleep born?,Mount Olive,compositional,"Answer: Nashville  Confidence: 0.7  
Answer: Tennessee  Confidence: 0.6  
Answer: United States  Confidence: 0.5  
Answer: Kentucky  Confidence: 0.4  
Answer: Alabama  Confidence: 0.3",Nashville,0.7,0.0,0,0
5,d0a0a43c0bdd11eba7f7acde48001122,Which country Harald Ii Of Denmark's mother is from?,Polish,compositional,"Answer: Norway Confidence: 0.9  
Answer: Sweden Confidence: 0.05  
Answer: Denmark Confidence: 0.03  
Answer: Iceland Confidence: 0.02  
Answer: Finland Confidence: 0.01",Norway,0.9,0.0,0,0
6,f8378b9e08ab11ebbd82ac1f6bf848b6,"Which film has the director who is older, Three Violent People or Girls In White?",Girls In White,bridge_comparison,"Answer: Girls In White  Confidence: 0.7  
Answer: Three Violent People  Confidence: 0.2  
Answer: Both directors are the same age  Confidence: 0.1  
Answer: Not determined  Confidence: 0.0  
Answer: Age of directors unknown  Confidence: 0.0",Girls In White,0.7,1.0,1,1
7,fc04494a0baf11ebab90acde48001122,"Who is the paternal grandfather of Hugh Montgomerie, 7Th Earl Of Eglinton?","Robert Seton, 1st Earl of Winton",inference,"Answer: Hugh Montgomerie, 6th Earl of Eglinton Confidence: 0.9  
Answer: John Montgomerie Confidence: 0.7  
Answer: Sir John Montgomerie Confidence: 0.6  
Answer: Montgomerie Family Confidence: 0.5  
Answer: Eglinton Family Confidence: 0.4","Hugh Montgomerie, 6th Earl of Eglinton",0.9,0.3333333333333333,0,0
8,84b56dcc0bd911eba7f7acde48001122,Where was the director of film Little Alvin And The Mini-Munks born?,American,compositional,"Answer: Don Bluth Confidence: 0.9  
Answer: El Paso, Texas Confidence: 0.8  
Answer: United States Confidence: 0.7  
Answer: 1937 Confidence: 0.6  
Answer: California Confidence: 0.5",Don Bluth,0.9,0.0,0,0
9,47bafeb40bde11eba7f7acde48001122,"When did Joachim I, Prince Of Anhalt-Dessau's father die?",12 June 1516,compositional,"Answer: 1561 Confidence: 0.8  
Answer: 1571 Confidence: 0.1  
Answer: 1544 Confidence: 0.05  
Answer: 1550 Confidence: 0.03  
Answer: 1565 Confidence: 0.02",1561,0.8,0.0,0,0
