,id,question,answer,type,level,response,prediction,confidence,f1,em,gpt_eval
0,5ae3cfe05542990afbd1e1e3,"Which airport is located in Maine, Sacramento International Airport or Knox County Regional Airport?",Knox County Regional Airport,comparison,medium,"Answer: Knox County Regional Airport Confidence: 0.9  
Answer: Sacramento International Airport Confidence: 0.1  
Answer: Bangor International Airport Confidence: 0.7  
Answer: Portland International Jetport Confidence: 0.6  
Answer: Augusta State Airport Confidence: 0.5",Knox County Regional Airport,0.9,1.0,1,1
1,5abc1abf5542993a06baf87f,Peter Hobbs founded the company that is based in what town in Manchester?,Failsworth,bridge,medium,"Answer: Stockport Confidence: 0.3  
Answer: Altrincham Confidence: 0.2  
Answer: Bolton Confidence: 0.2  
Answer: Rochdale Confidence: 0.2  
Answer: Oldham Confidence: 0.1",Stockport,0.3,0.0,0,0
2,5ac250eb5542992f1f2b384f,What direction does the river that Austrolebias bellotti are found in flow?,north to south,bridge,medium,"Answer: East Confidence: 0.6  
Answer: North Confidence: 0.5  
Answer: South Confidence: 0.4  
Answer: West Confidence: 0.3  
Answer: Northeast Confidence: 0.2",East,0.6,0.0,0,0
3,5a81a60455429903bc27b990,Were both Gabriela Mistral and G. K. Chesterton authors?,yes,comparison,medium,"Answer: Yes Confidence: 0.9
Answer: Yes, both were authors Confidence: 0.8
Answer: Gabriela Mistral and G. K. Chesterton were authors Confidence: 0.7
Answer: Yes, they were both authors Confidence: 0.6
Answer: Both were authors Confidence: 0.5",Yes,0.9,1.0,1,1
4,5a70fb2d5542994082a3e482,"What city, other than San Jose del Cabo, is at the the southern tip of Baja California Peninsula and is also encompassed in the Los Cabos Municipality?",Cabo San Lucas,bridge,medium,"Answer: Cabo San Lucas Confidence: 0.9
Answer: La Paz Confidence: 0.2
Answer: Todos Santos Confidence: 0.1
Answer: Loreto Confidence: 0.05
Answer: San Jose del Cabo Confidence: 0.01",Cabo San Lucas,0.9,1.0,1,1
5,5a9050925542995651fb512f,Sky High starred the actress who is married to which actor?,John Travolta,bridge,medium,"Answer: John Krasinski Confidence: 0.7  
Answer: Ryan Reynolds Confidence: 0.5  
Answer: Hugh Jackman Confidence: 0.4  
Answer: Dwayne Johnson Confidence: 0.2  
Answer: Chris Pratt Confidence: 0.1",John Krasinski,0.7,0.5,0,0
6,5a760b725542994ccc91869a,"What event occured at the Red Bull Arena in Salzburg, Austria and Switzerland in 2008?",UEFA Euro 2008,bridge,medium,"Answer: UEFA Euro 2008 match Confidence: 0.8  
Answer: Red Bull Salzburg home game Confidence: 0.6  
Answer: European Championship football match Confidence: 0.7  
Answer: International friendly football match Confidence: 0.5  
Answer: Music concert or event Confidence: 0.3",UEFA Euro 2008 match,0.8,0.8571428571428571,0,1
7,5ae60d88554299546bf83040,Sir Thomas Kyriell was executed after which battle from the Wars of the Roses?,Second Battle of St Albans,bridge,medium,"Answer: Battle of Towton Confidence: 0.7  
Answer: Battle of Wakefield Confidence: 0.5  
Answer: Battle of St Albans Confidence: 0.3  
Answer: Battle of Blore Heath Confidence: 0.2  
Answer: Battle of Barnet Confidence: 0.1",Battle of Towton,0.7,0.5,0,0
8,5a8d9501554299068b959d4d,"Where is the fruit, part of the flowering plant species in the palm family Arecaceae, most popular?",Malta,bridge,medium,"Answer: Southeast Asia Confidence: 0.7  
Answer: India Confidence: 0.6  
Answer: Brazil Confidence: 0.5  
Answer: Philippines Confidence: 0.4  
Answer: Thailand Confidence: 0.3",Southeast Asia,0.7,0.0,0,0
9,5a875ce15542993e715abf16,"Undertow is a steel spinning roller coaster, built by Maurer Söhne, located at which oceanfront amusement park in Santa Cruz, California?",Santa Cruz Beach Boardwalk,bridge,easy,"Answer: Santa Cruz Beach Boardwalk Confidence: 0.9  
Answer: Pacific Park Confidence: 0.05  
Answer: Belmont Park Confidence: 0.03  
Answer: Coney Island Confidence: 0.01  
Answer: Myrtle Beach Boardwalk Confidence: 0.01",Santa Cruz Beach Boardwalk,0.9,1.0,1,1
