,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,Answer: Britt Robertson Confidence: 0.7,Britt Robertson,0.7,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,Answer: University of British Columbia Confidence: 0.6,University of British Columbia,0.6,1.0,1,1
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,Answer: 1938 Confidence: 0.7,1938,0.7,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900","Answer: 16,000 Confidence: 0.6","16,000",0.6,0.0,0,0
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,Answer: Latin Confidence: 0.7,Latin,0.7,0.6666666666666666,0,1
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,Answer: Assimilated or displaced Confidence: 0.7,Assimilated or displaced,0.7,0.0,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,Answer: James I Confidence: 0.8,James I,0.8,0.5714285714285715,0,1
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,Answer: Mark Shand Confidence: 0.7,Mark Shand,0.7,0.0,0,1
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000",Answer: University of Oxford Confidence: 0.7,University of Oxford,0.7,0.0,0,0
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,Answer: John Cabot Confidence: 0.6,John Cabot,0.6,0.5,0,0
10,3hop2__132957_222979_40768,"When did Nissan, the Acura Legend maker and the Scion owner open US assembly plants?",1981,"Answer: 1982, 1986, 2003 Confidence: 0.7","1982, 1986, 2003",0.7,0.0,0,0
11,2hop__62311_62279,When did Germany launch an air attack on the country the U.S. fought during the American Revolution?,10 July -- 31 October 1940,Answer: 1940 Confidence: 0.8,1940,0.8,0.33333333333333337,0,1
12,3hop1__365934_87694_124169,What date did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to end?,1952,Answer: Unknown Confidence: 0.1,Unknown,0.1,0.0,0,0
13,2hop__409166_152023,"What record label is responsible for the performer of ""Sanctuary""?",Kicking Mule Records,Answer: LaFace Records Confidence: 0.7,LaFace Records,0.7,0.4,0,0
14,3hop1__857_846_7821,How many miles of highways are in the city where the Yongle emperor greeted the person to whom the edict was addressed?,140 mi,"Answer: 12,408 Confidence: 0.4","12,408",0.4,0.0,0,0
15,3hop1__19768_19788_10117,"Widely practiced in the region having the second largest rain-forest in the world, how long ago did this religion arrive in Zhejiang?","1,400 years",Answer: 1st century CE Confidence: 0.6,1st century CE,0.6,0.0,0,0
16,2hop__703767_37168,Where does the employer of Hasan Hanafi rank according to QS World University Rankings?,551-600,Answer: Not applicable Confidence: 0.0,Not applicable,0.0,0.0,0,0
17,2hop__56851_343058,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,Adrian Edmondson,Answer: Jennifer Aniston Confidence: 0.7,Jennifer Aniston,0.7,0.0,0,0
18,3hop2__30152_105395_20999,"How were the people that the Somali Muslim Ajuran Empire made coins to proclaim independence from, expelled from the country where Star Cola is produced?",The dynasty regrouped and defeated the Portuguese,Answer: Portuguese Confidence: 0.7,Portuguese,0.7,0.33333333333333337,0,1
19,2hop__42747_83837,Who sings Home Alone Tonight with the singer of Light It Up?,Karen Fairchild,Answer: Luke Bryan Confidence: 0.8,Luke Bryan,0.8,0.0,0,0
20,2hop__511176_22458,What does the acronym of the organization Danish Football Union is part of stand for?,International Federation of Association Football,Answer: UEFA Confidence: 0.8,UEFA,0.8,0.0,0,0
21,2hop__83800_747874,Who's the sibling of the player who won the men's wimbledon championship 2016?,Jamie Murray,Answer: Jamie Murray Confidence: 0.8,Jamie Murray,0.8,1.0,1,1
22,2hop__83257_19033,Where did the inventor of the Money in the Bank ladder match win in 2008?,Great American Bash,Answer: WrestleMania 24 Confidence: 0.7,WrestleMania 24,0.7,0.0,0,0
23,2hop__55966_162341,What kind of recognition did the actor who played the game maker in hunger games receive?,nominated for an Academy Award for Best Supporting Actor,Answer: Golden Globe Award Confidence: 0.7,Golden Globe Award,0.7,0.18181818181818182,0,0
24,2hop__754753_57816,What is the U.S. News ranking of the law school at Carlos Alvarez's employer?,100,Answer: 118 Confidence: 0.7,118,0.7,0.0,0,0
25,3hop1__127837_157828_239539,Where is the headquarters of the Radio Television of the country that has a co-official language in the language that Kuhinjica is in?,Pristina,Answer: Belgrade Confidence: 0.7,Belgrade,0.7,0.0,0,0
26,3hop1__102461_24918_24991,What went down after the Soviet President visiting the the birth country of Andrey Dashkov while the protests were taking place departed from the Kremlin?,Soviet flag,Answer: Soviet Union dissolution Confidence: 0.7,Soviet Union dissolution,0.7,0.4,0,0
27,2hop__612719_6455,What was the resulting browser of the group that owns Mozilla Messaging?,Firefox,Answer: Firefox Confidence: 0.8,Firefox,0.8,1.0,1,1
28,2hop__30905_189318,Where did the person who sponsored the resolution to reopen trade with Vietnam along with Kerry go to college?,National War College,Answer: Yale Confidence: 0.8,Yale,0.8,0.0,0,0
29,2hop__776377_857193,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,Delaware River,Answer: Brandywine River Confidence: 0.9,Brandywine River,0.9,0.5,0,0
30,2hop__411091_625230,In which county is Mark Dismore's birthplace located?,Hancock County,Answer: Madison County Confidence: 0.3,Madison County,0.3,0.5,0,0
31,4hop2__160585_14670_8987_8529,"A country's military branch, which in the US contains the Air Defense Artillery, was unprepared for the invasion of Hana Mandlikova's birth country. When was the word ""Slavs"" used in the national anthem of the unprepared country?",1943–1992,Answer: 1944 Confidence: 0.7,1944,0.7,0.0,0,0
32,3hop1__28404_160713_77246,What is the meaning of the word that is also a majority religion in what became India when the country that disavowed the Taliban was created in the Arabic dictionary?,the country of India,Answer: Hinduism Confidence: 0.7,Hinduism,0.7,0.0,0,0
33,2hop__8496_21567,Who introduced a system of musical notation used during the 14th century in the place where there is no evidence of a Slavic settlement before c. 600 AD?,John Kukuzelis,Answer: Philippe de Vitry Confidence: 0.75,Philippe de Vitry,0.75,0.0,0,0
34,2hop__70338_36240,"What specific part of the book where the quote ""by the skin of your teeth"" comes from document reference for Mary?",Genesis 3:15,Answer: Job 19:20 Confidence: 0.8,Job 19:20,0.8,0.0,0,0
35,2hop__275891_55984,Who wrote the song The Story that is sung by the performer of Rhapsody Originals?,Phil Hanseroth,Answer: Brandi Carlile Confidence: 0.8,Brandi Carlile,0.8,0.0,0,0
36,3hop1__136129_87694_124169,What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?,1952,Answer: 397 Confidence: 0.6,397,0.6,0.0,0,0
37,4hop3__373866_5189_38229_86687,A group of nations of which the People's Socialist Republic of Albania was a member was controlled by one country. When did that country agree to a unified Germany inside of the organization Eisenhower would not discuss during the campaign?,May 1990,Answer: 1990 Confidence: 0.7,1990,0.7,0.6666666666666666,0,1
38,2hop__455158_247871,What county is the NRHEG High School located in?,Waseca County,Answer: Waseca County Confidence: 0.8,Waseca County,0.8,1.0,1,1
39,3hop1__131783_131926_13165,What treaty ceded territory to the US extending west to the body of water by the location of the Minikahda Club?,Treaty of Paris,Answer: Treaty of Paris 1783 Confidence: 0.3,Treaty of Paris 1783,0.3,0.8571428571428571,0,1
40,2hop__123214_22402,How many students attend Daniel Thürer's university?,"nearly 25,000",Answer: University of Zurich Confidence: 0.3,University of Zurich,0.3,0.0,0,0
41,3hop1__358853_339990_15538,"When did the state, that contains the county where Raven Creek is located, reinstate the death penalty?",1984,Answer: 1984 Confidence: 0.3,1984,0.3,1.0,1,1
42,2hop__552546_70131,Who constituted the free corps in the country that the Free State of Mecklenburg-Schwerin is located in?,consisting largely of World War I veterans,Answer: German volunteers Confidence: 0.7,German volunteers,0.7,0.0,0,1
43,2hop__67956_463572,What record label does the artist who sang you belong to me belong to?,MGM Records,Answer: Warner Records Confidence: 0.7,Warner Records,0.7,0.5,0,0
44,2hop__418360_67370,When does real time with the author of The New New Rules start again in 2018,"January 19, 2018","Answer: September 18, 2018 Confidence: 0.7","September 18, 2018",0.7,0.3333333333333333,0,0
45,2hop__73921_807969,The BBC Footballer of the Year is a member of which team?,Egypt national football team,Answer: Manchester United Confidence: 0.7,Manchester United,0.7,0.0,0,0
46,3hop1__139787_88110_77129,What was the first OS to support Hyper-V from the company the letters MS stands for in the network that broadcasts Buchanan & Press?,Windows 8,Answer: Windows Server 2008 Confidence: 0.7,Windows Server 2008,0.7,0.4,0,0
47,2hop__141456_6455,What was the resulting browser for the company Mozilla Messaging is a part of?,Firefox,Answer: Firefox Confidence: 0.8,Firefox,0.8,1.0,1,1
48,3hop2__326964_7855_7713,How long had the city considered to be a place that is popular with tourists been the capital city of the location of the Yaxing Coach headquarters?,about 400 years,Answer: 106 years Confidence: 0.6,106 years,0.6,0.4,0,0
49,4hop1__436202_765799_282674_759393,What is the seat of the county sharing a border with the county in which J. P. Hayes was born?,Green Bay,Answer: Oshkosh Confidence: 0.7,Oshkosh,0.7,0.0,0,0
50,3hop1__389069_132457_47686,"Where do greyhound buses depart from, in the city where the performer of Sleep Is the Enemy was formed?",Toronto Coach Terminal,Answer: Toronto Coach Terminal Confidence: 0.8,Toronto Coach Terminal,0.8,1.0,1,1
51,2hop__90773_715759,What was the inventor of the atomic bomb trigger a participant in?,Manhattan Project,Answer: Manhattan Project Confidence: 0.9,Manhattan Project,0.9,1.0,1,1
