,id,question,answer,response,prediction,confidence,f1,em,gpt_eval
0,2hop__44815_494136,Who is the spouse of the actor of Ethan in A Dog's Purpose?,Meg Ryan,Answer: Fergie Duhamel Confidence: 0.8,Fergie Duhamel,0.8,0.0,0,0
1,2hop__640262_122868,What university did the author of 1967: The Last Good Year attend?,University of British Columbia,Answer: Yale University Confidence: 0.9,Yale University,0.9,0.3333333333333333,0,0
2,2hop__370564_71701,What year did the japanese get to the current administrative territorial entity of the Century Lotus Stadium and the rest of the guangdong province?,November 5,Answer: 1938 Confidence: 0.8,1938,0.8,0.0,0,0
3,2hop__6827_79845,How many atms does the bank that bought FleetBoston Financial has are there?,"15,900","Answer: 16,000 ATMs Confidence: 0.9","16,000 ATMs",0.9,0.0,0,1
4,3hop2__90098_156850_10557,"What was the form of the language that the last name Sylvester comes from, used in the era of Fastrada's spouse, later known as?",Medieval Latin,Answer: Old High German Confidence: 0.8,Old High German,0.8,0.0,0,0
5,2hop__488811_30110,What happened to the Curonians who lived in the area where Erich Zakowski was born?,expelled by the Soviet Union,Answer: Assimilated or expelled Confidence: 0.8,Assimilated or expelled,0.8,0.28571428571428575,0,0
6,2hop__17827_54024,Which king sold part of the Crown Freehold and commissioned a bible translation?,King James I of England,Answer: King James I Confidence: 0.9,King James I,0.9,0.7499999999999999,0,1
7,2hop__752214_639679,Who is the spouse of the author of Queen of the Elephants?,Clio Goldsmith,Answer: Mark Shand Confidence: 0.9,Mark Shand,0.9,0.0,0,0
8,2hop__810884_22402,How many students attend the university that Edith Humphrey was educated?,"nearly 25,000","Answer: 5,665 Confidence: 0.7","5,665",0.7,0.0,0,0
9,4hop1__341777_508773_85832_745702,"Who was the child of the Italian navigator who sailed for England, and explored the eastern coast of the continent where the birthplace of Eduardo Cuervo is found?",Sebastian Cabot,Answer: Sebastian Cabot Confidence: 0.9,Sebastian Cabot,0.9,1.0,1,1
10,3hop2__132957_222979_40768,"When did Nissan, the Acura Legend maker and the Scion owner open US assembly plants?",1981,"Answer: 1983, 1999, 2004 Confidence: 0.8","1983, 1999, 2004",0.8,0.0,0,0
11,2hop__62311_62279,When did Germany launch an air attack on the country the U.S. fought during the American Revolution?,10 July -- 31 October 1940,"<format>
Answer: 1940 Confidence: 0.9 
</format>",1940,0.9,0.33333333333333337,0,1
12,3hop1__365934_87694_124169,What date did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to end?,1952,"Answer: January 22, 2021 Confidence: 0.7","January 22, 2021",0.7,0.0,0,0
13,2hop__409166_152023,"What record label is responsible for the performer of ""Sanctuary""?",Kicking Mule Records,Answer: Roc Nation Confidence: 0.8,Roc Nation,0.8,0.0,0,0
14,3hop1__857_846_7821,How many miles of highways are in the city where the Yongle emperor greeted the person to whom the edict was addressed?,140 mi,Answer: 665 miles Confidence: 0.6,665 miles,0.6,0.0,0,0
15,3hop1__19768_19788_10117,"Widely practiced in the region having the second largest rain-forest in the world, how long ago did this religion arrive in Zhejiang?","1,400 years",Answer: 1300 years ago Confidence: 0.7,1300 years ago,0.7,0.4,0,0
16,2hop__703767_37168,Where does the employer of Hasan Hanafi rank according to QS World University Rankings?,551-600,Answer: not ranked Confidence: 0.5,not ranked,0.5,0.0,0,0
17,2hop__56851_343058,Who is the spouse of the actress who played the fairy god mother in Shrek 2?,Adrian Edmondson,Answer: Chris Sarandon Confidence: 0.9,Chris Sarandon,0.9,0.0,0,0
18,3hop2__30152_105395_20999,"How were the people that the Somali Muslim Ajuran Empire made coins to proclaim independence from, expelled from the country where Star Cola is produced?",The dynasty regrouped and defeated the Portuguese,Answer: Italians Confidence: 0.8,Italians,0.8,0.0,0,0
19,2hop__42747_83837,Who sings Home Alone Tonight with the singer of Light It Up?,Karen Fairchild,Answer: Karen Fairchild Confidence: 0.9,Karen Fairchild,0.9,1.0,1,1
20,2hop__511176_22458,What does the acronym of the organization Danish Football Union is part of stand for?,International Federation of Association Football,Answer: Union of European Football Associations Confidence: 0.9,Union of European Football Associations,0.9,0.4000000000000001,0,0
21,2hop__83800_747874,Who's the sibling of the player who won the men's wimbledon championship 2016?,Jamie Murray,Answer: Jamie Murray Confidence: 0.9,Jamie Murray,0.9,1.0,1,1
22,2hop__83257_19033,Where did the inventor of the Money in the Bank ladder match win in 2008?,Great American Bash,Answer: World Heavyweight Championship Confidence: 0.9,World Heavyweight Championship,0.9,0.0,0,0
23,2hop__55966_162341,What kind of recognition did the actor who played the game maker in hunger games receive?,nominated for an Academy Award for Best Supporting Actor,Answer: Oscar nomination Confidence: 0.7,Oscar nomination,0.7,0.0,0,1
24,2hop__754753_57816,What is the U.S. News ranking of the law school at Carlos Alvarez's employer?,100,Answer: 16 Confidence: 0.8,16,0.8,0.0,0,0
25,3hop1__127837_157828_239539,Where is the headquarters of the Radio Television of the country that has a co-official language in the language that Kuhinjica is in?,Pristina,Answer: Sarajevo Confidence: 0.9,Sarajevo,0.9,0.0,0,0
26,3hop1__102461_24918_24991,What went down after the Soviet President visiting the the birth country of Andrey Dashkov while the protests were taking place departed from the Kremlin?,Soviet flag,Answer: Fall of the Soviet Union Confidence: 0.8,Fall of the Soviet Union,0.8,0.3333333333333333,0,1
27,2hop__612719_6455,What was the resulting browser of the group that owns Mozilla Messaging?,Firefox,"<format>
Answer: Firefox Confidence: 0.9
</format>",Firefox,0.9,1.0,1,1
28,2hop__30905_189318,Where did the person who sponsored the resolution to reopen trade with Vietnam along with Kerry go to college?,National War College,Answer: Princeton University Confidence: 0.8,Princeton University,0.8,0.0,0,0
29,2hop__776377_857193,What is the mouth of watercourse for the body of water where Bartram's Covered Bridge is located?,Delaware River,Answer: Darby Creek Confidence: 0.9,Darby Creek,0.9,0.0,0,0
30,2hop__411091_625230,In which county is Mark Dismore's birthplace located?,Hancock County,Answer: Miami County Confidence: 0.9,Miami County,0.9,0.5,0,0
31,4hop2__160585_14670_8987_8529,"A country's military branch, which in the US contains the Air Defense Artillery, was unprepared for the invasion of Hana Mandlikova's birth country. When was the word ""Slavs"" used in the national anthem of the unprepared country?",1943–1992,"<format>
Answer: 1944 Confidence: 0.8 
</format>",1944,0.8,0.0,0,0
32,3hop1__28404_160713_77246,What is the meaning of the word that is also a majority religion in what became India when the country that disavowed the Taliban was created in the Arabic dictionary?,the country of India,Answer: submission Confidence: 0.8,submission,0.8,0.0,0,0
33,2hop__8496_21567,Who introduced a system of musical notation used during the 14th century in the place where there is no evidence of a Slavic settlement before c. 600 AD?,John Kukuzelis,Answer: Franco of Cologne Confidence: 0.7,Franco of Cologne,0.7,0.0,0,0
34,2hop__70338_36240,"What specific part of the book where the quote ""by the skin of your teeth"" comes from document reference for Mary?",Genesis 3:15,Answer: Book of Job Confidence: 0.8,Book of Job,0.8,0.0,0,0
35,2hop__275891_55984,Who wrote the song The Story that is sung by the performer of Rhapsody Originals?,Phil Hanseroth,Answer: Phil Hanseroth Confidence: 0.95,Phil Hanseroth,0.95,1.0,1,1
36,3hop1__136129_87694_124169,What year did the Governor of the city where the basilica named after the same saint as the one that Mantua Cathedral is dedicated to die?,1952,Answer: 2019 Confidence: 0.8,2019,0.8,0.0,0,0
37,4hop3__373866_5189_38229_86687,A group of nations of which the People's Socialist Republic of Albania was a member was controlled by one country. When did that country agree to a unified Germany inside of the organization Eisenhower would not discuss during the campaign?,May 1990,Answer: 1990 Confidence: 0.8,1990,0.8,0.6666666666666666,0,1
38,2hop__455158_247871,What county is the NRHEG High School located in?,Waseca County,Answer: Waseca County Confidence: 0.9,Waseca County,0.9,1.0,1,1
